"time","placeholder","placeholder","placeholder"
2016-01-01 00:00:00,0,0,0
2016-01-01 01:00:00,0,0,0
2016-01-01 02:00:00,0,0,0
2016-01-01 03:00:00,0,0,0
2016-01-01 04:00:00,0,0,0
2016-01-01 05:00:00,0,0,0
2016-01-01 06:00:00,0,0,0
2016-01-01 07:00:00,0,0,0
2016-01-01 08:00:00,0,0,0
2016-01-01 09:00:00,0,0,0
2016-01-01 10:00:00,0,0,0
2016-01-01 11:00:00,0,0,0
2016-01-01 12:00:00,0,0,0
2016-01-01 13:00:00,0,0,0
2016-01-01 14:00:00,0.038,0.122,0.043
2016-01-01 15:00:00,0.102,0.322,0.144
2016-01-01 16:00:00,0.167,0.43,0.149
2016-01-01 17:00:00,0.244,0.542,0.188
2016-01-01 18:00:00,0.293,0.58,0.262
2016-01-01 19:00:00,0.271,0.589,0.312
2016-01-01 20:00:00,0.25,0.551,0.337
2016-01-01 21:00:00,0.186,0.457,0.334
2016-01-01 22:00:00,0.127,0.316,0.223
2016-01-01 23:00:00,0.034,0.08,0.04
2016-01-02 00:00:00,0,0,0
2016-01-02 01:00:00,0,0,0
2016-01-02 02:00:00,0,0,0
2016-01-02 03:00:00,0,0,0
2016-01-02 04:00:00,0,0,0
2016-01-02 05:00:00,0,0,0
2016-01-02 06:00:00,0,0,0
2016-01-02 07:00:00,0,0,0
2016-01-02 08:00:00,0,0,0
2016-01-02 09:00:00,0,0,0
2016-01-02 10:00:00,0,0,0
2016-01-02 11:00:00,0,0,0
2016-01-02 12:00:00,0,0,0
2016-01-02 13:00:00,0,0,0
2016-01-02 14:00:00,0.075,0.103,0.031
2016-01-02 15:00:00,0.187,0.263,0.111
2016-01-02 16:00:00,0.311,0.48,0.261
2016-01-02 17:00:00,0.406,0.661,0.358
2016-01-02 18:00:00,0.442,0.772,0.38
2016-01-02 19:00:00,0.392,0.796,0.347
2016-01-02 20:00:00,0.343,0.715,0.272
2016-01-02 21:00:00,0.306,0.656,0.196
2016-01-02 22:00:00,0.216,0.43,0.089
2016-01-02 23:00:00,0.065,0.123,0.011
2016-01-03 00:00:00,0,0,0
2016-01-03 01:00:00,0,0,0
2016-01-03 02:00:00,0,0,0
2016-01-03 03:00:00,0,0,0
2016-01-03 04:00:00,0,0,0
2016-01-03 05:00:00,0,0,0
2016-01-03 06:00:00,0,0,0
2016-01-03 07:00:00,0,0,0
2016-01-03 08:00:00,0,0,0
2016-01-03 09:00:00,0,0,0
2016-01-03 10:00:00,0,0,0
2016-01-03 11:00:00,0,0,0
2016-01-03 12:00:00,0,0,0
2016-01-03 13:00:00,0,0,0.004
2016-01-03 14:00:00,0.162,0.553,0.349
2016-01-03 15:00:00,0.415,0.767,0.753
2016-01-03 16:00:00,0.675,0.839,0.827
