Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
2000.0,1.0,1.0,1.0,2000.0,1.0,168.0,1.0,1,65863,2927
,2.0,0.9,0.04,1800.0,,,,2,64863,2882
,3.0,0.55,0.024,1100.0,,,,3,62596,2782
,4.0,0.2,0.003,400.0,,,,4,59102,2626
,,,,,,,,5,55784,2479
,,,,,,,,6,43297,1924
,,,,,,,,7,42766,1900
,,,,,,,,8,41223,1832
,,,,,,,,9,42829,1903
,,,,,,,,10,43921,1952
,,,,,,,,11,45599,2026
,,,,,,,,12,47023,2089
,,,,,,,,13,51024,2267
,,,,,,,,14,51541,2290
,,,,,,,,15,52379,2327
,,,,,,,,16,53754,2389
,,,,,,,,17,54835,2437
,,,,,,,,18,54883,2439
,,,,,,,,19,57971,2576
,,,,,,,,20,62390,2772
,,,,,,,,21,62146,2762
,,,,,,,,22,62074,2758
,,,,,,,,23,62485,2777
,,,,,,,,24,61042,2713
,,,,,,,,25,61508,2733
,,,,,,,,26,60954,2709
,,,,,,,,27,58235,2588
,,,,,,,,28,56192,2497
,,,,,,,,29,53984,2399
,,,,,,,,30,51891,2306
,,,,,,,,31,48405,2151
,,,,,,,,32,48584,2159
,,,,,,,,33,51607,2293
,,,,,,,,34,54282,2412
,,,,,,,,35,57141,2539
,,,,,,,,36,58652,2606
,,,,,,,,37,64616,2871
,,,,,,,,38,65298,2902
,,,,,,,,39,63749,2833
,,,,,,,,40,60734,2699
,,,,,,,,41,60430,2685
,,,,,,,,42,60134,2672
,,,,,,,,43,62476,2776
,,,,,,,,44,65910,2929
,,,,,,,,45,66790,2968
,,,,,,,,46,69080,3070
,,,,,,,,47,71722,3187
,,,,,,,,48,73425,3263
,,,,,,,,49,68420,3040
,,,,,,,,50,59111,2627
,,,,,,,,51,55444,2464
,,,,,,,,52,53233,2365
,,,,,,,,53,51853,2304
,,,,,,,,54,52293,2324
,,,,,,,,55,55424,2463
,,,,,,,,56,56414,2507
,,,,,,,,57,60902,2706
,,,,,,,,58,63280,2812
,,,,,,,,59,65821,2925
,,,,,,,,60,67867,3016
,,,,,,,,61,80081,3559
,,,,,,,,62,78536,3490
,,,,,,,,63,73899,3284
,,,,,,,,64,67730,3010
,,,,,,,,65,65739,2921
,,,,,,,,66,64002,2844
,,,,,,,,67,65448,2908
,,,,,,,,68,68401,3040
,,,,,,,,69,68659,3051
,,,,,,,,70,70422,3129
,,,,,,,,71,73397,3262
,,,,,,,,72,74504,3311
,,,,,,,,73,68363,3038
,,,,,,,,74,59304,2635
,,,,,,,,75,55465,2465
,,,,,,,,76,51559,2291
,,,,,,,,77,49397,2195
,,,,,,,,78,49476,2198
,,,,,,,,79,51529,2290
,,,,,,,,80,53184,2363
,,,,,,,,81,56745,2522
,,,,,,,,82,58617,2605
,,,,,,,,83,61511,2733
,,,,,,,,84,63275,2812
,,,,,,,,85,72528,3223
,,,,,,,,86,72338,3215
,,,,,,,,87,68398,3039
,,,,,,,,88,62833,2792
,,,,,,,,89,61389,2728
,,,,,,,,90,60012,2667
,,,,,,,,91,61206,2720
,,,,,,,,92,63557,2824
,,,,,,,,93,64020,2845
,,,,,,,,94,65815,2925
,,,,,,,,95,68642,3050
,,,,,,,,96,69563,3091
,,,,,,,,97,63979,2843
,,,,,,,,98,55084,2448
,,,,,,,,99,51276,2278
,,,,,,,,100,47986,2132
,,,,,,,,101,45688,2030
,,,,,,,,102,45491,2021
,,,,,,,,103,48190,2141
,,,,,,,,104,50480,2243
,,,,,,,,105,53853,2393
,,,,,,,,106,55825,2481
,,,,,,,,107,58700,2608
,,,,,,,,108,60398,2684
,,,,,,,,109,67968,3020
,,,,,,,,110,68674,3052
,,,,,,,,111,65191,2897
,,,,,,,,112,60357,2682
,,,,,,,,113,59514,2645
,,,,,,,,114,58574,2603
,,,,,,,,115,59743,2655
,,,,,,,,116,62050,2757
,,,,,,,,117,62568,2780
,,,,,,,,118,64442,2864
,,,,,,,,119,66802,2969
,,,,,,,,120,67529,3001
,,,,,,,,121,62502,2777
,,,,,,,,122,54621,2427
,,,,,,,,123,50633,2250
,,,,,,,,124,47499,2111
,,,,,,,,125,44992,1999
,,,,,,,,126,44020,1956
,,,,,,,,127,45088,2003
,,,,,,,,128,47017,2089
,,,,,,,,129,49401,2195
,,,,,,,,130,51237,2277
,,,,,,,,131,54240,2410
,,,,,,,,132,55978,2487
,,,,,,,,133,61702,2742
,,,,,,,,134,63557,2824
,,,,,,,,135,61050,2713
,,,,,,,,136,57265,2545
,,,,,,,,137,57245,2544
,,,,,,,,138,57031,2534
,,,,,,,,139,57731,2565
,,,,,,,,140,59418,2640
,,,,,,,,141,59543,2646
,,,,,,,,142,61013,2711
,,,,,,,,143,63640,2828
,,,,,,,,144,64937,2886
,,,,,,,,145,60442,2686
,,,,,,,,146,50353,2237
,,,,,,,,147,46164,2051
,,,,,,,,148,42829,1903
,,,,,,,,149,40250,1788
,,,,,,,,150,39072,1736
,,,,,,,,151,42462,1887
,,,,,,,,152,41862,1860
,,,,,,,,153,44277,1967
,,,,,,,,154,46152,2051
,,,,,,,,155,48606,2160
,,,,,,,,156,50747,2255
,,,,,,,,157,55256,2455
,,,,,,,,158,55843,2481
,,,,,,,,159,56303,2502
,,,,,,,,160,57767,2567
,,,,,,,,161,59113,2627
,,,,,,,,162,59105,2626
,,,,,,,,163,61279,2723
,,,,,,,,164,64548,2868
,,,,,,,,165,63632,2828
,,,,,,,,166,62936,2797
,,,,,,,,167,62499,2777
,,,,,,,,168,60249,2677
,,,,,,,,169,59965,2665
,,,,,,,,170,57888,2572
,,,,,,,,171,54734,2432
,,,,,,,,172,51985,2310
,,,,,,,,173,49043,2179
,,,,,,,,174,46253,2055
,,,,,,,,175,44479,1976
,,,,,,,,176,43146,1917
,,,,,,,,177,45149,2006
,,,,,,,,178,46776,2078
,,,,,,,,179,48963,2176
,,,,,,,,180,50662,2251
,,,,,,,,181,54718,2431
,,,,,,,,182,55809,2480
,,,,,,,,183,56627,2516
,,,,,,,,184,58017,2578
,,,,,,,,185,59149,2628
,,,,,,,,186,59199,2631
,,,,,,,,187,62036,2757
,,,,,,,,188,65334,2903
,,,,,,,,189,64860,2882
,,,,,,,,190,64251,2855
,,,,,,,,191,63767,2834
,,,,,,,,192,61302,2724
,,,,,,,,193,60441,2686
,,,,,,,,194,59123,2627
,,,,,,,,195,55908,2484
,,,,,,,,196,53340,2370
,,,,,,,,197,50543,2246
,,,,,,,,198,48168,2140
,,,,,,,,199,45382,2017
,,,,,,,,200,46162,2051
,,,,,,,,201,49377,2194
,,,,,,,,202,51963,2309
,,,,,,,,203,55954,2486
,,,,,,,,204,59175,2630
,,,,,,,,205,68939,3063
,,,,,,,,206,70070,3114
,,,,,,,,207,68212,3031
,,,,,,,,208,64867,2882
,,,,,,,,209,64734,2877
,,,,,,,,210,64719,2876
,,,,,,,,211,66447,2953
,,,,,,,,212,68149,3028
,,,,,,,,213,68174,3029
,,,,,,,,214,69310,3080
,,,,,,,,215,71775,3190
,,,,,,,,216,72373,3216
,,,,,,,,217,66399,2951
,,,,,,,,218,57333,2548
,,,,,,,,219,53403,2373
,,,,,,,,220,49783,2212
,,,,,,,,221,47433,2108
,,,,,,,,222,47149,2095
,,,,,,,,223,49633,2205
,,,,,,,,224,50665,2251
,,,,,,,,225,54611,2427
,,,,,,,,226,57214,2542
,,,,,,,,227,61143,2717
,,,,,,,,228,64099,2848
,,,,,,,,229,75537,3357
,,,,,,,,230,75851,3371
,,,,,,,,231,72467,3220
,,,,,,,,232,67971,3020
,,,,,,,,233,67364,2993
,,,,,,,,234,66433,2952
,,,,,,,,235,67663,3007
,,,,,,,,236,69990,3110
,,,,,,,,237,70334,3125
,,,,,,,,238,72136,3206
,,,,,,,,239,74925,3330
,,,,,,,,240,75667,3362
,,,,,,,,241,69406,3084
,,,,,,,,242,60810,2702
,,,,,,,,243,57146,2539
,,,,,,,,244,53734,2388
,,,,,,,,245,51573,2292
,,,,,,,,246,51485,2288
,,,,,,,,247,53200,2364
,,,,,,,,248,55569,2469
,,,,,,,,249,58500,2600
,,,,,,,,250,59298,2635
,,,,,,,,251,60664,2696
,,,,,,,,252,61429,2730
,,,,,,,,253,68024,3023
,,,,,,,,254,68648,3051
,,,,,,,,255,64856,2882
,,,,,,,,256,59949,2664
,,,,,,,,257,59170,2629
,,,,,,,,258,58603,2604
,,,,,,,,259,59546,2646
,,,,,,,,260,62439,2775
,,,,,,,,261,63422,2818
,,,,,,,,262,65898,2928
,,,,,,,,263,68762,3056
,,,,,,,,264,69606,3093
,,,,,,,,265,64445,2864
,,,,,,,,266,53202,2364
,,,,,,,,267,49910,2218
,,,,,,,,268,47361,2104
,,,,,,,,269,45696,2030
,,,,,,,,270,45857,2038
,,,,,,,,271,51842,2304
,,,,,,,,272,53927,2396
,,,,,,,,273,57818,2569
,,,,,,,,274,61112,2716
,,,,,,,,275,65133,2894
,,,,,,,,276,68452,3042
,,,,,,,,277,80594,3581
,,,,,,,,278,82123,3649
,,,,,,,,279,77832,3459
,,,,,,,,280,73656,3273
,,,,,,,,281,73288,3257
,,,,,,,,282,72595,3226
,,,,,,,,283,74204,3297
,,,,,,,,284,77404,3440
,,,,,,,,285,77324,3436
,,,,,,,,286,79307,3524
,,,,,,,,287,83012,3689
,,,,,,,,288,84990,3777
,,,,,,,,289,78551,3491
,,,,,,,,290,68739,3055
,,,,,,,,291,65332,2903
,,,,,,,,292,61103,2715
,,,,,,,,293,58773,2612
,,,,,,,,294,58766,2611
,,,,,,,,295,61257,2722
,,,,,,,,296,61019,2711
,,,,,,,,297,64682,2874
,,,,,,,,298,67564,3002
,,,,,,,,299,69863,3105
,,,,,,,,300,71373,3172
,,,,,,,,301,85325,3792
,,,,,,,,302,83706,3720
,,,,,,,,303,76440,3397
,,,,,,,,304,69255,3078
,,,,,,,,305,66652,2962
,,,,,,,,306,64130,2850
,,,,,,,,307,64353,2860
,,,,,,,,308,67274,2989
,,,,,,,,309,67324,2992
,,,,,,,,310,69245,3077
,,,,,,,,311,72973,3243
,,,,,,,,312,74895,3328
,,,,,,,,313,69902,3106
,,,,,,,,314,59714,2653
,,,,,,,,315,56417,2507
,,,,,,,,316,52642,2339
,,,,,,,,317,51220,2276
,,,,,,,,318,51496,2288
,,,,,,,,319,55978,2487
,,,,,,,,320,55007,2444
,,,,,,,,321,59548,2646
,,,,,,,,322,62004,2755
,,,,,,,,323,63731,2832
,,,,,,,,324,64516,2867
,,,,,,,,325,72132,3205
,,,,,,,,326,69738,3099
,,,,,,,,327,67168,2985
,,,,,,,,328,64841,2881
,,,,,,,,329,63789,2835
,,,,,,,,330,61652,2740
,,,,,,,,331,63036,2801
,,,,,,,,332,66502,2955
,,,,,,,,333,65629,2916
,,,,,,,,334,65525,2912
,,,,,,,,335,66110,2938
,,,,,,,,336,64319,2858
,,,,,,,,337,64176,2852
,,,,,,,,338,61774,2745
,,,,,,,,339,58480,2599
,,,,,,,,340,55603,2471
,,,,,,,,341,52809,2347
,,,,,,,,342,50720,2254
,,,,,,,,343,49865,2216
,,,,,,,,344,49251,2188
,,,,,,,,345,53255,2366
,,,,,,,,346,55756,2478
,,,,,,,,347,57552,2557
,,,,,,,,348,58591,2604
,,,,,,,,349,63379,2816
,,,,,,,,350,62780,2790
,,,,,,,,351,61958,2753
,,,,,,,,352,61204,2720
,,,,,,,,353,60824,2703
,,,,,,,,354,59340,2637
,,,,,,,,355,61560,2736
,,,,,,,,356,64669,2874
,,,,,,,,357,63476,2821
,,,,,,,,358,62628,2783
,,,,,,,,359,62288,2768
,,,,,,,,360,59888,2661
,,,,,,,,361,59386,2639
,,,,,,,,362,59407,2640
,,,,,,,,363,55816,2480
,,,,,,,,364,52960,2353
,,,,,,,,365,49625,2205
,,,,,,,,366,46629,2072
,,,,,,,,367,41561,1847
,,,,,,,,368,42038,1868
,,,,,,,,369,44583,1981
,,,,,,,,370,47313,2102
,,,,,,,,371,51625,2294
,,,,,,,,372,54329,2414
,,,,,,,,373,58621,2605
,,,,,,,,374,60176,2674
,,,,,,,,375,59413,2640
,,,,,,,,376,56933,2530
,,,,,,,,377,57107,2538
,,,,,,,,378,57388,2550
,,,,,,,,379,58836,2614
,,,,,,,,380,61065,2714
,,,,,,,,381,61799,2746
,,,,,,,,382,63413,2818
,,,,,,,,383,65390,2906
,,,,,,,,384,65828,2925
,,,,,,,,385,61159,2718
,,,,,,,,386,52590,2337
,,,,,,,,387,48668,2163
,,,,,,,,388,46078,2047
,,,,,,,,389,43448,1931
,,,,,,,,390,41923,1863
,,,,,,,,391,42926,1907
,,,,,,,,392,44719,1987
,,,,,,,,393,46026,2045
,,,,,,,,394,46987,2088
,,,,,,,,395,49628,2205
,,,,,,,,396,51735,2299
,,,,,,,,397,57004,2533
,,,,,,,,398,59597,2648
,,,,,,,,399,58394,2595
,,,,,,,,400,55866,2482
,,,,,,,,401,56301,2502
,,,,,,,,402,57053,2535
,,,,,,,,403,58798,2613
,,,,,,,,404,62177,2763
,,,,,,,,405,63485,2821
,,,,,,,,406,65593,2915
,,,,,,,,407,68550,3046
,,,,,,,,408,69768,3100
,,,,,,,,409,66197,2942
,,,,,,,,410,58087,2581
,,,,,,,,411,54430,2419
,,,,,,,,412,50996,2266
,,,,,,,,413,48281,2145
,,,,,,,,414,47406,2106
,,,,,,,,415,50740,2255
,,,,,,,,416,53017,2356
,,,,,,,,417,56844,2526
,,,,,,,,418,58503,2600
,,,,,,,,419,60252,2677
,,,,,,,,420,61745,2744
,,,,,,,,421,70778,3145
,,,,,,,,422,70812,3147
,,,,,,,,423,67425,2996
,,,,,,,,424,62973,2798
,,,,,,,,425,62015,2756
,,,,,,,,426,61161,2718
,,,,,,,,427,61702,2742
,,,,,,,,428,64641,2872
