"time","placeholder","placeholder","placeholder"
2013-01-01 00:00:00,0,0,0
2013-01-01 01:00:00,0,0,0
2013-01-01 02:00:00,0,0,0
2013-01-01 03:00:00,0,0,0
2013-01-01 04:00:00,0,0,0
2013-01-01 05:00:00,0,0,0
2013-01-01 06:00:00,0,0,0
2013-01-01 07:00:00,0,0,0
2013-01-01 08:00:00,0,0,0
2013-01-01 09:00:00,0,0,0
2013-01-01 10:00:00,0,0,0
2013-01-01 11:00:00,0,0,0
2013-01-01 12:00:00,0,0,0
2013-01-01 13:00:00,0,0,0.003
2013-01-01 14:00:00,0.477,0.518,0.397
2013-01-01 15:00:00,0.704,0.762,0.722
2013-01-01 16:00:00,0.791,0.849,0.827
2013-01-01 17:00:00,0.825,0.883,0.856
2013-01-01 18:00:00,0.821,0.886,0.874
2013-01-01 19:00:00,0.779,0.868,0.853
2013-01-01 20:00:00,0.714,0.808,0.747
2013-01-01 21:00:00,0.615,0.721,0.573
2013-01-01 22:00:00,0.363,0.559,0.22
2013-01-01 23:00:00,0.099,0.172,0.02
2013-01-02 00:00:00,0,0,0
2013-01-02 01:00:00,0,0,0
2013-01-02 02:00:00,0,0,0
2013-01-02 03:00:00,0,0,0
2013-01-02 04:00:00,0,0,0
2013-01-02 05:00:00,0,0,0
2013-01-02 06:00:00,0,0,0
2013-01-02 07:00:00,0,0,0
2013-01-02 08:00:00,0,0,0
2013-01-02 09:00:00,0,0,0
2013-01-02 10:00:00,0,0,0
2013-01-02 11:00:00,0,0,0
2013-01-02 12:00:00,0,0,0
2013-01-02 13:00:00,0,0,0
2013-01-02 14:00:00,0.158,0.229,0.061
2013-01-02 15:00:00,0.391,0.528,0.148
2013-01-02 16:00:00,0.614,0.704,0.257
2013-01-02 17:00:00,0.728,0.796,0.363
2013-01-02 18:00:00,0.77,0.833,0.47
2013-01-02 19:00:00,0.789,0.836,0.529
2013-01-02 20:00:00,0.776,0.815,0.545
2013-01-02 21:00:00,0.707,0.756,0.513
2013-01-02 22:00:00,0.564,0.616,0.351
2013-01-02 23:00:00,0.248,0.249,0.067
2013-01-03 00:00:00,0,0,0
2013-01-03 01:00:00,0,0,0
2013-01-03 02:00:00,0,0,0
2013-01-03 03:00:00,0,0,0
2013-01-03 04:00:00,0,0,0
2013-01-03 05:00:00,0,0,0
2013-01-03 06:00:00,0,0,0
2013-01-03 07:00:00,0,0,0
2013-01-03 08:00:00,0,0,0
2013-01-03 09:00:00,0,0,0
2013-01-03 10:00:00,0,0,0
2013-01-03 11:00:00,0,0,0
2013-01-03 12:00:00,0,0,0
2013-01-03 13:00:00,0,0,0.005
2013-01-03 14:00:00,0.084,0.076,0.152
2013-01-03 15:00:00,0.303,0.24,0.306
2013-01-03 16:00:00,0.514,0.23,0.499
2013-01-03 17:00:00,0.428,0.3,0.664
2013-01-03 18:00:00,0.329,0.453,0.716
2013-01-03 19:00:00,0.328,0.321,0.682
2013-01-03 20:00:00,0.339,0.268,0.605
2013-01-03 21:00:00,0.253,0.156,0.532
2013-01-03 22:00:00,0.115,0.106,0.296
2013-01-03 23:00:00,0.02,0.029,0.036
2013-01-04 00:00:00,0,0,0
2013-01-04 01:00:00,0,0,0
2013-01-04 02:00:00,0,0,0
2013-01-04 03:00:00,0,0,0
2013-01-04 04:00:00,0,0,0
2013-01-04 05:00:00,0,0,0
2013-01-04 06:00:00,0,0,0
2013-01-04 07:00:00,0,0,0
2013-01-04 08:00:00,0,0,0
2013-01-04 09:00:00,0,0,0
2013-01-04 10:00:00,0,0,0
2013-01-04 11:00:00,0,0,0
2013-01-04 12:00:00,0,0,0
2013-01-04 13:00:00,0,0,0
2013-01-04 14:00:00,0.137,0.23,0.145
2013-01-04 15:00:00,0.318,0.435,0.336
2013-01-04 16:00:00,0.328,0.408,0.485
2013-01-04 17:00:00,0.36,0.362,0.448
2013-01-04 18:00:00,0.379,0.387,0.369
2013-01-04 19:00:00,0.419,0.396,0.312
2013-01-04 20:00:00,0.376,0.315,0.273
2013-01-04 21:00:00,0.307,0.275,0.217
2013-01-04 22:00:00,0.228,0.167,0.124
2013-01-04 23:00:00,0.073,0.041,0.021
2013-01-05 00:00:00,0,0,0
