Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC
2020,1,0.378,0.407333333,0,0,2021,1,0.853333333,0.970333333,0,0,2022,1,0.430666667,0.951666667,0,0
2020,2,0.562,0.391333333,0,0,2021,2,0.82,0.968666667,0,0,2022,2,0.436333333,0.947333333,0,0
2020,3,0.722,0.363,0,0,2021,3,0.814333333,0.966,0,0,2022,3,0.481333333,0.946666667,0,0
2020,4,0.788666667,0.342666667,0,0,2021,4,0.851666667,0.949666667,0,0,2022,4,0.37,0.955,0,0
2020,5,0.799666667,0.321333333,0,0,2021,5,0.898333333,0.914333333,0,0,2022,5,0.170666667,0.963666667,0,0
2020,6,0.778,0.330666667,0,0,2021,6,0.928333333,0.859666667,0,0,2022,6,0.087,0.969666667,0,0
2020,7,0.753333333,0.361666667,0,0,2021,7,0.937666667,0.817,0,0,2022,7,0.302,0.971666667,0,0
2020,8,0.745333333,0.365,0,0,2021,8,0.937333333,0.788666667,0,0,2022,8,0.529666667,0.965333333,0,0
2020,9,0.744666667,0.371333333,0,0,2021,9,0.934,0.761,0,0,2022,9,0.657333333,0.955666667,0,0
2020,10,0.768,0.328333333,0,0,2021,10,0.924333333,0.721666667,0,0,2022,10,0.771,0.938333333,0,0
2020,11,0.769333333,0.233333333,0,0,2021,11,0.902666667,0.694666667,0,0,2022,11,0.849,0.934333333,0,0
2020,12,0.753666667,0.219,0,0,2021,12,0.88,0.701,0,0,2022,12,0.861,0.922,0,0
2020,13,0.758,0.184666667,0,0,2021,13,0.866333333,0.703333333,0,0,2022,13,0.847333333,0.901,0,0
2020,14,0.744333333,0.144666667,0,0,2021,14,0.869,0.654,0.003,0.00399,2022,14,0.857,0.883,0.001,0.00133
2020,15,0.667,0.128333333,0.103333333,0.137433333,2021,15,0.809,0.449,0.485666667,0.645936667,2022,15,0.799666667,0.782,0.451333333,0.600273333
2020,16,0.590333333,0.092666667,0.329333333,0.438013333,2021,16,0.746333333,0.464,0.715333333,0.947793333,2022,16,0.887,0.755666667,0.673333333,0.895533333
2020,17,0.767333333,0.061333333,0.449333333,0.597613333,2021,17,0.77,0.416666667,0.799333333,0.996063333,2022,17,0.97,0.700333333,0.758333333,0.993846667
2020,18,0.860333333,0.037333333,0.441666667,0.587416667,2021,18,0.763666667,0.281333333,0.837666667,1,2022,18,0.964,0.670333333,0.792333333,1
2020,19,0.904,0.045333333,0.36,0.4788,2021,19,0.738666667,0.18,0.832,1,2022,19,0.948,0.619666667,0.798666667,1
2020,20,0.893333333,0.065333333,0.307,0.40831,2021,20,0.692666667,0.127333333,0.807666667,0.9903,2022,20,0.919666667,0.504666667,0.788,1
2020,21,0.888666667,0.078333333,0.282,0.37506,2021,21,0.643666667,0.094,0.755666667,0.957493333,2022,21,0.879,0.342333333,0.754,0.995673333
2020,22,0.883,0.102666667,0.232333333,0.309003333,2021,22,0.593666667,0.071333333,0.659,0.87647,2022,22,0.852333333,0.186,0.681666667,0.906616667
2020,23,0.863333333,0.164333333,0.117333333,0.156053333,2021,23,0.466333333,0.061333333,0.417,0.55461,2022,23,0.815,0.083333333,0.524,0.69692
2020,24,0.889666667,0.243,0.019666667,0.026156667,2021,24,0.413666667,0.071666667,0.089666667,0.119256667,2022,24,0.796,0.073333333,0.168666667,0.224326667
2020,25,0.906,0.233666667,0,0,2021,25,0.391333333,0.114333333,0,0,2022,25,0.845333333,0.126,0,0
2020,26,0.905333333,0.158666667,0,0,2021,26,0.334333333,0.211666667,0,0,2022,26,0.912,0.287333333,0,0
2020,27,0.907333333,0.104666667,0,0,2021,27,0.256333333,0.34,0,0,2022,27,0.947,0.506666667,0,0
2020,28,0.920666667,0.077333333,0,0,2021,28,0.186666667,0.452333333,0,0,2022,28,0.950666667,0.571,0,0
2020,29,0.912666667,0.1,0,0,2021,29,0.132333333,0.541666667,0,0,2022,29,0.947,0.518666667,0,0
2020,30,0.907666667,0.149,0,0,2021,30,0.091666667,0.608,0,0,2022,30,0.96,0.405,0,0
2020,31,0.878333333,0.195666667,0,0,2021,31,0.058666667,0.645333333,0,0,2022,31,0.962666667,0.36,0,0
2020,32,0.903333333,0.272,0,0,2021,32,0.025333333,0.659,0,0,2022,32,0.951666667,0.655,0,0
2020,33,0.904666667,0.348666667,0,0,2021,33,0.008333333,0.659,0,0,2022,33,0.939,0.805,0,0
2020,34,0.883,0.267333333,0,0,2021,34,0.009666667,0.635,0,0,2022,34,0.928666667,0.773666667,0,0
2020,35,0.866333333,0.165333333,0,0,2021,35,0.027,0.605333333,0,0,2022,35,0.917,0.86,0,0
2020,36,0.881666667,0.147333333,0,0,2021,36,0.096,0.579666667,0,0,2022,36,0.889333333,0.767,0,0
2020,37,0.858666667,0.190333333,0,0,2021,37,0.258333333,0.560666667,0,0,2022,37,0.792666667,0.823333333,0,0
2020,38,0.852,0.296666667,0,0,2021,38,0.439333333,0.538333333,0.002666667,0.003546667,2022,38,0.635333333,0.852,0.004666667,0.006206667
2020,39,0.815333333,0.392,0.171,0.22743,2021,39,0.474666667,0.375333333,0.534666667,0.711106667,2022,39,0.647,0.812666667,0.582666667,0.774946667
2020,40,0.715666667,0.445333333,0.373333333,0.496533333,2021,40,0.285333333,0.338666667,0.754333333,0.98631,2022,40,0.718666667,0.810333333,0.791,1
2020,41,0.812333333,0.687666667,0.429,0.567413333,2021,41,0.297333333,0.358,0.833333333,1,2022,41,0.637666667,0.827333333,0.867,1
2020,42,0.87,0.774,0.458666667,0.594013333,2021,42,0.651,0.376666667,0.862,1,2022,42,0.477666667,0.838,0.892666667,1
2020,43,0.893,0.764666667,0.465333333,0.601993333,2021,43,0.817,0.395333333,0.863333333,1,2022,43,0.403333333,0.864,0.894333333,1
2020,44,0.887,0.712666667,0.449,0.59717,2021,44,0.864333333,0.386333333,0.853333333,1,2022,44,0.390666667,0.912666667,0.889333333,1
2020,45,0.880333333,0.618333333,0.364,0.48412,2021,45,0.873333333,0.343,0.819666667,1,2022,45,0.345666667,0.939666667,0.854666667,1
2020,46,0.862,0.433333333,0.334666667,0.445106667,2021,46,0.839,0.265333333,0.752333333,0.990743333,2022,46,0.277666667,0.958333333,0.789,1
2020,47,0.748,0.203,0.17,0.2261,2021,47,0.746,0.159333333,0.615,0.81795,2022,47,0.198666667,0.97,0.657,0.87381
2020,48,0.670333333,0.089666667,0.034,0.04522,2021,48,0.825333333,0.062333333,0.248333333,0.330283333,2022,48,0.125666667,0.962,0.288666667,0.383926667
2020,49,0.670333333,0.13,0,0,2021,49,0.905666667,0.023333333,0,0,2022,49,0.101333333,0.947333333,0,0
2020,50,0.650666667,0.218666667,0,0,2021,50,0.929333333,0.018666667,0,0,2022,50,0.106,0.921666667,0,0
2020,51,0.67,0.289666667,0,0,2021,51,0.934,0.039,0,0,2022,51,0.109666667,0.881666667,0,0
2020,52,0.725,0.296333333,0,0,2021,52,0.933333333,0.09,0,0,2022,52,0.117333333,0.845,0,0
2020,53,0.770666667,0.288,0,0,2021,53,0.927666667,0.091666667,0,0,2022,53,0.134333333,0.811,0,0
2020,54,0.808333333,0.326333333,0,0,2021,54,0.908666667,0.101666667,0,0,2022,54,0.22,0.783333333,0,0
