Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
2000,1,1,1,2000,1,8760,1,1,39519,1756
,2,0.9,0.04,1800,,,,2,38543,1713
,3,0.55,0.024,1100,,,,3,38366,1705
,4,0.2,0.003,400,,,,4,38073,1692
,,,,,,,,5,37934,1685
,,,,,,,,6,31098,1382
,,,,,,,,7,30890,1372
,,,,,,,,8,30669,1363
,,,,,,,,9,32454,1442
,,,,,,,,10,33745,1499
,,,,,,,,11,35708,1587
,,,,,,,,12,36726,1632
,,,,,,,,13,39835,1770
,,,,,,,,14,39370,1749
,,,,,,,,15,39643,1761
,,,,,,,,16,39707,1764
,,,,,,,,17,39697,1764
,,,,,,,,18,37972,1687
,,,,,,,,19,38811,1724
,,,,,,,,20,42299,1879
,,,,,,,,21,41411,1840
,,,,,,,,22,40962,1820
,,,,,,,,23,40725,1810
,,,,,,,,24,40123,1783
,,,,,,,,25,37849,1682
,,,,,,,,26,37265,1656
,,,,,,,,27,36082,1603
,,,,,,,,28,35755,1589
,,,,,,,,29,35822,1592
,,,,,,,,30,36479,1621
,,,,,,,,31,37607,1671
,,,,,,,,32,38784,1723
,,,,,,,,33,42036,1868
,,,,,,,,34,44544,1979
,,,,,,,,35,47336,2103
,,,,,,,,36,48000,2133
,,,,,,,,37,51665,2296
,,,,,,,,38,50237,2232
,,,,,,,,39,48360,2149
,,,,,,,,40,45801,2035
,,,,,,,,41,45651,2028
,,,,,,,,42,44144,1961
,,,,,,,,43,45069,2003
,,,,,,,,44,47830,2125
,,,,,,,,45,47876,2127
,,,,,,,,46,47591,2115
,,,,,,,,47,46860,2082
,,,,,,,,48,45396,2017
,,,,,,,,49,42441,1886
,,,,,,,,50,39418,1751
,,,,,,,,51,38266,1700
,,,,,,,,52,37947,1686
,,,,,,,,53,38638,1717
,,,,,,,,54,40187,1786
,,,,,,,,55,44375,1972
,,,,,,,,56,46052,2046
,,,,,,,,57,50683,2252
,,,,,,,,58,52930,2352
,,,,,,,,59,55414,2462
,,,,,,,,60,55971,2487
,,,,,,,,61,62054,2757
,,,,,,,,62,59424,2641
,,,,,,,,63,55726,2476
,,,,,,,,64,51313,2280
,,,,,,,,65,50149,2228
,,,,,,,,66,47194,2097
,,,,,,,,67,47184,2097
,,,,,,,,68,49386,2194
,,,,,,,,69,48629,2161
,,,,,,,,70,47530,2112
,,,,,,,,71,46870,2083
,,,,,,,,72,44859,1993
,,,,,,,,73,41176,1830
,,,,,,,,74,38606,1715
,,,,,,,,75,37272,1656
,,,,,,,,76,36151,1606
,,,,,,,,77,36486,1621
,,,,,,,,78,37931,1685
,,,,,,,,79,40942,1819
,,,,,,,,80,43185,1919
,,,,,,,,81,46925,2085
,,,,,,,,82,48684,2163
,,,,,,,,83,51465,2287
,,,,,,,,84,51980,2310
,,,,,,,,85,57170,2540
,,,,,,,,86,55126,2450
,,,,,,,,87,51944,2308
,,,,,,,,88,47548,2113
,,,,,,,,89,46532,2068
,,,,,,,,90,43974,1954
,,,,,,,,91,43863,1949
,,,,,,,,92,45515,2022
,,,,,,,,93,45126,2005
,,,,,,,,94,44403,1973
,,,,,,,,95,44097,1959
,,,,,,,,96,42320,1880
,,,,,,,,97,39270,1745
,,,,,,,,98,36305,1613
,,,,,,,,99,34790,1546
,,,,,,,,100,33370,1483
,,,,,,,,101,32944,1464
,,,,,,,,102,33958,1509
,,,,,,,,103,37515,1667
,,,,,,,,104,40285,1790
,,,,,,,,105,43839,1948
,,,,,,,,106,45752,2033
,,,,,,,,107,48585,2159
,,,,,,,,108,49137,2183
,,,,,,,,109,53689,2386
,,,,,,,,110,51919,2307
,,,,,,,,111,48935,2174
,,,,,,,,112,45130,2005
,,,,,,,,113,44522,1978
,,,,,,,,114,42432,1885
,,,,,,,,115,42440,1886
,,,,,,,,116,44180,1963
,,,,,,,,117,43912,1951
,,,,,,,,118,43341,1926
,,,,,,,,119,42842,1904
,,,,,,,,120,41092,1826
,,,,,,,,121,38582,1714
,,,,,,,,122,36398,1617
,,,,,,,,123,34711,1542
,,,,,,,,124,33328,1481
,,,,,,,,125,32585,1448
,,,,,,,,126,32652,1451
,,,,,,,,127,34369,1527
,,,,,,,,128,36785,1634
,,,,,,,,129,39445,1753
,,,,,,,,130,41249,1833
,,,,,,,,131,44238,1966
,,,,,,,,132,45055,2002
,,,,,,,,133,48702,2164
,,,,,,,,134,47806,2124
,,,,,,,,135,45457,2020
,,,,,,,,136,42258,1878
,,,,,,,,137,42177,1874
,,,,,,,,138,40936,1819
,,,,,,,,139,40603,1804
,,,,,,,,140,41820,1858
,,,,,,,,141,41271,1834
,,,,,,,,142,40345,1793
,,,,,,,,143,40095,1782
,,,,,,,,144,39159,1740
,,,,,,,,145,37385,1661
,,,,,,,,146,33055,1469
,,,,,,,,147,31241,1388
,,,,,,,,148,29457,1309
,,,,,,,,149,28368,1260
,,,,,,,,150,28068,1247
,,,,,,,,151,30869,1371
,,,,,,,,152,31549,1402
,,,,,,,,153,34112,1516
,,,,,,,,154,36061,1602
,,,,,,,,155,38618,1716
,,,,,,,,156,40092,1781
,,,,,,,,157,43495,1933
,,,,,,,,158,42934,1908
,,,,,,,,159,42819,1903
,,,,,,,,160,42867,1905
,,,,,,,,161,42903,1906
,,,,,,,,162,40972,1821
,,,,,,,,163,40972,1821
,,,,,,,,164,43436,1930
,,,,,,,,165,41880,1861
,,,,,,,,166,40817,1814
,,,,,,,,167,39827,1770
,,,,,,,,168,38841,1726
,,,,,,,,169,36317,1614
,,,,,,,,170,34502,1533
,,,,,,,,171,33111,1471
,,,,,,,,172,32297,1435
,,,,,,,,173,31698,1408
,,,,,,,,174,31593,1404
,,,,,,,,175,32504,1444
,,,,,,,,176,32774,1456
,,,,,,,,177,34888,1550
,,,,,,,,178,36560,1624
,,,,,,,,179,38883,1728
,,,,,,,,180,40089,1781
,,,,,,,,181,43150,1917
,,,,,,,,182,43139,1917
,,,,,,,,183,43315,1925
,,,,,,,,184,43323,1925
,,,,,,,,185,43304,1924
,,,,,,,,186,41536,1846
,,,,,,,,187,42043,1868
,,,,,,,,188,44417,1974
,,,,,,,,189,43285,1923
,,,,,,,,190,42278,1879
,,,,,,,,191,41250,1833
,,,,,,,,192,39944,1775
,,,,,,,,193,37043,1646
,,,,,,,,194,35876,1594
,,,,,,,,195,34419,1529
,,,,,,,,196,33776,1501
,,,,,,,,197,33354,1482
,,,,,,,,198,33718,1498
,,,,,,,,199,35203,1564
,,,,,,,,200,36784,1634
,,,,,,,,201,40108,1782
,,,,,,,,202,42513,1889
,,,,,,,,203,46264,2056
,,,,,,,,204,48321,2147
,,,,,,,,205,54032,2401
,,,,,,,,206,53752,2389
,,,,,,,,207,52254,2322
,,,,,,,,208,49481,2199
,,,,,,,,209,49259,2189
,,,,,,,,210,48063,2136
,,,,,,,,211,48375,2150
,,,,,,,,212,49464,2198
,,,,,,,,213,48774,2167
,,,,,,,,214,47402,2106
,,,,,,,,215,46653,2073
,,,,,,,,216,44674,1985
,,,,,,,,217,41750,1855
,,,,,,,,218,38616,1716
,,,,,,,,219,37083,1648
,,,,,,,,220,35657,1584
,,,,,,,,221,35226,1565
,,,,,,,,222,35895,1595
,,,,,,,,223,39010,1733
,,,,,,,,224,40603,1804
,,,,,,,,225,44653,1984
,,,,,,,,226,47105,2093
,,,,,,,,227,50833,2259
,,,,,,,,228,52472,2332
,,,,,,,,229,58889,2617
,,,,,,,,230,57668,2563
,,,,,,,,231,55027,2445
,,,,,,,,232,51533,2290
,,,,,,,,233,51125,2272
,,,,,,,,234,48809,2169
,,,,,,,,235,48587,2159
,,,,,,,,236,50167,2229
,,,,,,,,237,49534,2201
,,,,,,,,238,48431,2152
,,,,,,,,239,47679,2119
,,,,,,,,240,45511,2022
,,,,,,,,241,42284,1879
,,,,,,,,242,40217,1787
,,,,,,,,243,39066,1736
,,,,,,,,244,37996,1688
,,,,,,,,245,37998,1688
,,,,,,,,246,39146,1739
,,,,,,,,247,41688,1852
,,,,,,,,248,44479,1976
,,,,,,,,249,47618,2116
,,,,,,,,250,48394,2150
,,,,,,,,251,49845,2215
,,,,,,,,252,49540,2201
,,,,,,,,253,53286,2368
,,,,,,,,254,51049,2268
,,,,,,,,255,47824,2125
,,,,,,,,256,44080,1959
,,,,,,,,257,43582,1937
,,,,,,,,258,41959,1864
,,,,,,,,259,41834,1859
,,,,,,,,260,44209,1964
,,,,,,,,261,44426,1974
,,,,,,,,262,44357,1971
,,,,,,,,263,44152,1962
,,,,,,,,264,42521,1889
,,,,,,,,265,39793,1768
,,,,,,,,266,34698,1542
,,,,,,,,267,33666,1496
,,,,,,,,268,32960,1464
,,,,,,,,269,33071,1469
,,,,,,,,270,34215,1520
