local_time,1,2,3,4,5,6
2023-01-01 00:00:00,0.893,0.928,0.925,0.605,0.598,0.497
2023-01-01 01:00:00,0.852,0.914,0.919,0.5630000000000001,0.534,0.424
2023-01-01 02:00:00,0.8280000000000001,0.894,0.909,0.526,0.483,0.35000000000000003
2023-01-01 03:00:00,0.797,0.849,0.89,0.486,0.445,0.34400000000000003
2023-01-01 04:00:00,0.751,0.8210000000000001,0.863,0.438,0.434,0.422
2023-01-01 05:00:00,0.735,0.803,0.848,0.385,0.40900000000000003,0.537
2023-01-01 06:00:00,0.732,0.784,0.838,0.331,0.341,0.635
2023-01-01 07:00:00,0.739,0.77,0.833,0.28400000000000003,0.25,0.68
2023-01-01 08:00:00,0.68,0.704,0.74,0.20600000000000002,0.136,0.535
2023-01-01 09:00:00,0.439,0.436,0.451,0.234,0.23600000000000002,0.637
2023-01-01 10:00:00,0.26,0.256,0.23600000000000002,0.291,0.41500000000000004,0.714
2023-01-01 11:00:00,0.34500000000000003,0.365,0.294,0.321,0.52,0.741
2023-01-01 12:00:00,0.441,0.468,0.363,0.343,0.5760000000000001,0.727
2023-01-01 13:00:00,0.495,0.512,0.374,0.338,0.545,0.6970000000000001
2023-01-01 14:00:00,0.54,0.5710000000000001,0.41300000000000003,0.314,0.487,0.668
2023-01-01 15:00:00,0.5740000000000001,0.602,0.461,0.303,0.47300000000000003,0.658
2023-01-01 16:00:00,0.596,0.5630000000000001,0.505,0.305,0.483,0.666
2023-01-01 17:00:00,0.713,0.68,0.622,0.442,0.6960000000000001,0.748
2023-01-01 18:00:00,0.802,0.845,0.729,0.677,0.8280000000000001,0.837
2023-01-01 19:00:00,0.854,0.915,0.808,0.797,0.833,0.834
2023-01-01 20:00:00,0.888,0.933,0.862,0.856,0.869,0.845
2023-01-01 21:00:00,0.905,0.935,0.897,0.893,0.91,0.895
2023-01-01 22:00:00,0.903,0.9440000000000001,0.91,0.914,0.912,0.927
2023-01-01 23:00:00,0.899,0.9510000000000001,0.909,0.923,0.889,0.9430000000000001
2023-01-02 00:00:00,0.893,0.9560000000000001,0.904,0.914,0.876,0.901
2023-01-02 01:00:00,0.89,0.962,0.905,0.891,0.868,0.877
2023-01-02 02:00:00,0.902,0.967,0.909,0.887,0.863,0.875
2023-01-02 03:00:00,0.926,0.962,0.909,0.881,0.883,0.893
2023-01-02 04:00:00,0.9410000000000001,0.9390000000000001,0.9,0.89,0.909,0.919
2023-01-02 05:00:00,0.925,0.89,0.878,0.911,0.925,0.929
2023-01-02 06:00:00,0.861,0.8220000000000001,0.844,0.937,0.934,0.916
2023-01-02 07:00:00,0.748,0.757,0.79,0.9530000000000001,0.9430000000000001,0.893
2023-01-02 08:00:00,0.622,0.668,0.723,0.962,0.9570000000000001,0.92
2023-01-02 09:00:00,0.47200000000000003,0.523,0.7030000000000001,0.969,0.97,0.973
2023-01-02 10:00:00,0.456,0.483,0.725,0.969,0.965,0.972
2023-01-02 11:00:00,0.434,0.597,0.706,0.9510000000000001,0.973,0.972
2023-01-02 12:00:00,0.523,0.8140000000000001,0.71,0.96,0.964,0.965
2023-01-02 13:00:00,0.704,0.888,0.727,0.97,0.935,0.9460000000000001
2023-01-02 14:00:00,0.855,0.9430000000000001,0.745,0.973,0.896,0.927
2023-01-02 15:00:00,0.9500000000000001,0.969,0.784,0.964,0.863,0.93
2023-01-02 16:00:00,0.973,0.968,0.801,0.9560000000000001,0.768,0.933
2023-01-02 17:00:00,0.964,0.962,0.895,0.934,0.778,0.9460000000000001
2023-01-02 18:00:00,0.971,0.969,0.9460000000000001,0.9390000000000001,0.876,0.9470000000000001
