"time","placeholder","placeholder","placeholder"
2006-01-01 00:00:00,0,0,0
2006-01-01 01:00:00,0,0,0
2006-01-01 02:00:00,0,0,0
2006-01-01 03:00:00,0,0,0
2006-01-01 04:00:00,0,0,0
2006-01-01 05:00:00,0,0,0
2006-01-01 06:00:00,0,0,0
2006-01-01 07:00:00,0,0,0
2006-01-01 08:00:00,0,0,0
2006-01-01 09:00:00,0,0,0
2006-01-01 10:00:00,0,0,0
2006-01-01 11:00:00,0,0,0
2006-01-01 12:00:00,0,0,0
2006-01-01 13:00:00,0,0,0
2006-01-01 14:00:00,0.051,0.079,0.117
2006-01-01 15:00:00,0.399,0.474,0.463
2006-01-01 16:00:00,0.721,0.771,0.565
2006-01-01 17:00:00,0.772,0.815,0.6
2006-01-01 18:00:00,0.786,0.821,0.733
2006-01-01 19:00:00,0.781,0.815,0.625
2006-01-01 20:00:00,0.753,0.786,0.652
2006-01-01 21:00:00,0.691,0.727,0.688
2006-01-01 22:00:00,0.564,0.601,0.54
2006-01-01 23:00:00,0.26,0.247,0.142
2006-01-02 00:00:00,0,0,0
2006-01-02 01:00:00,0,0,0
2006-01-02 02:00:00,0,0,0
2006-01-02 03:00:00,0,0,0
2006-01-02 04:00:00,0,0,0
2006-01-02 05:00:00,0,0,0
2006-01-02 06:00:00,0,0,0
2006-01-02 07:00:00,0,0,0
2006-01-02 08:00:00,0,0,0
2006-01-02 09:00:00,0,0,0
2006-01-02 10:00:00,0,0,0
2006-01-02 11:00:00,0,0,0
2006-01-02 12:00:00,0,0,0
2006-01-02 13:00:00,0,0.001,0.015
2006-01-02 14:00:00,0.429,0.564,0.594
2006-01-02 15:00:00,0.648,0.748,0.756
2006-01-02 16:00:00,0.733,0.807,0.808
2006-01-02 17:00:00,0.767,0.819,0.822
2006-01-02 18:00:00,0.774,0.82,0.817
2006-01-02 19:00:00,0.765,0.801,0.804
2006-01-02 20:00:00,0.734,0.73,0.765
2006-01-02 21:00:00,0.669,0.635,0.689
2006-01-02 22:00:00,0.541,0.526,0.539
2006-01-02 23:00:00,0.249,0.219,0.162
2006-01-03 00:00:00,0,0,0
2006-01-03 01:00:00,0,0,0
2006-01-03 02:00:00,0,0,0
2006-01-03 03:00:00,0,0,0
2006-01-03 04:00:00,0,0,0
2006-01-03 05:00:00,0,0,0
2006-01-03 06:00:00,0,0,0
2006-01-03 07:00:00,0,0,0
2006-01-03 08:00:00,0,0,0
2006-01-03 09:00:00,0,0,0
2006-01-03 10:00:00,0,0,0
2006-01-03 11:00:00,0,0,0
2006-01-03 12:00:00,0,0,0
2006-01-03 13:00:00,0,0,0.013
2006-01-03 14:00:00,0.424,0.524,0.554
2006-01-03 15:00:00,0.632,0.709,0.721
2006-01-03 16:00:00,0.714,0.772,0.778
2006-01-03 17:00:00,0.745,0.79,0.793
2006-01-03 18:00:00,0.745,0.785,0.781
2006-01-03 19:00:00,0.733,0.766,0.764
2006-01-03 20:00:00,0.702,0.733,0.726
2006-01-03 21:00:00,0.637,0.674,0.659
2006-01-03 22:00:00,0.486,0.55,0.521
2006-01-03 23:00:00,0.113,0.217,0.149
2006-01-04 00:00:00,0,0,0
2006-01-04 01:00:00,0,0,0
2006-01-04 02:00:00,0,0,0
2006-01-04 03:00:00,0,0,0
2006-01-04 04:00:00,0,0,0
2006-01-04 05:00:00,0,0,0
2006-01-04 06:00:00,0,0,0
2006-01-04 07:00:00,0,0,0
2006-01-04 08:00:00,0,0,0
2006-01-04 09:00:00,0,0,0
2006-01-04 10:00:00,0,0,0
2006-01-04 11:00:00,0,0,0
2006-01-04 12:00:00,0,0,0
2006-01-04 13:00:00,0,0,0
2006-01-04 14:00:00,0.025,0.028,0.014
2006-01-04 15:00:00,0.094,0.101,0.047
2006-01-04 16:00:00,0.225,0.296,0.092
2006-01-04 17:00:00,0.445,0.565,0.13
2006-01-04 18:00:00,0.677,0.753,0.154
2006-01-04 19:00:00,0.751,0.808,0.152
2006-01-04 20:00:00,0.741,0.793,0.194
2006-01-04 21:00:00,0.673,0.728,0.298
2006-01-04 22:00:00,0.54,0.591,0.344
2006-01-04 23:00:00,0.245,0.246,0.122
2006-01-05 00:00:00,0,0,0
2006-01-05 01:00:00,0,0,0
2006-01-05 02:00:00,0,0,0
2006-01-05 03:00:00,0,0,0
2006-01-05 04:00:00,0,0,0
2006-01-05 05:00:00,0,0,0
2006-01-05 06:00:00,0,0,0
2006-01-05 07:00:00,0,0,0
2006-01-05 08:00:00,0,0,0
2006-01-05 09:00:00,0,0,0
2006-01-05 10:00:00,0,0,0
2006-01-05 11:00:00,0,0,0
2006-01-05 12:00:00,0,0,0
2006-01-05 13:00:00,0,0.001,0.016
2006-01-05 14:00:00,0.485,0.578,0.602
2006-01-05 15:00:00,0.697,0.768,0.763
2006-01-05 16:00:00,0.78,0.83,0.817
2006-01-05 17:00:00,0.818,0.856,0.842
2006-01-05 18:00:00,0.825,0.863,0.841
2006-01-05 19:00:00,0.815,0.851,0.836
2006-01-05 20:00:00,0.787,0.817,0.803
2006-01-05 21:00:00,0.722,0.756,0.736
2006-01-05 22:00:00,0.596,0.627,0.593
2006-01-05 23:00:00,0.295,0.291,0.199
2006-01-06 00:00:00,0,0,0
2006-01-06 01:00:00,0,0,0
2006-01-06 02:00:00,0,0,0
2006-01-06 03:00:00,0,0,0
2006-01-06 04:00:00,0,0,0
2006-01-06 05:00:00,0,0,0
2006-01-06 06:00:00,0,0,0
2006-01-06 07:00:00,0,0,0
2006-01-06 08:00:00,0,0,0
2006-01-06 09:00:00,0,0,0
2006-01-06 10:00:00,0,0,0
2006-01-06 11:00:00,0,0,0
2006-01-06 12:00:00,0,0,0
2006-01-06 13:00:00,0,0.002,0.019
2006-01-06 14:00:00,0.524,0.593,0.624
2006-01-06 15:00:00,0.714,0.768,0.777
2006-01-06 16:00:00,0.786,0.825,0.825
2006-01-06 17:00:00,0.815,0.838,0.839
2006-01-06 18:00:00,0.812,0.839,0.829
2006-01-06 19:00:00,0.799,0.825,0.817
2006-01-06 20:00:00,0.77,0.789,0.78
2006-01-06 21:00:00,0.703,0.726,0.711
2006-01-06 22:00:00,0.577,0.598,0.569
2006-01-06 23:00:00,0.279,0.276,0.191
2006-01-07 00:00:00,0,0,0
2006-01-07 01:00:00,0,0,0
2006-01-07 02:00:00,0,0,0
2006-01-07 03:00:00,0,0,0
2006-01-07 04:00:00,0,0,0
2006-01-07 05:00:00,0,0,0
2006-01-07 06:00:00,0,0,0
2006-01-07 07:00:00,0,0,0
2006-01-07 08:00:00,0,0,0
2006-01-07 09:00:00,0,0,0
2006-01-07 10:00:00,0,0,0
2006-01-07 11:00:00,0,0,0
2006-01-07 12:00:00,0,0,0
2006-01-07 13:00:00,0.001,0.003,0.023
2006-01-07 14:00:00,0.528,0.621,0.646
2006-01-07 15:00:00,0.716,0.781,0.787
2006-01-07 16:00:00,0.787,0.834,0.832
2006-01-07 17:00:00,0.809,0.848,0.841
2006-01-07 18:00:00,0.803,0.843,0.826
