"time","placeholder","placeholder","placeholder"
2012-01-01 00:00:00,0,0,0
2012-01-01 01:00:00,0,0,0
2012-01-01 02:00:00,0,0,0
2012-01-01 03:00:00,0,0,0
2012-01-01 04:00:00,0,0,0
2012-01-01 05:00:00,0,0,0
2012-01-01 06:00:00,0,0,0
2012-01-01 07:00:00,0,0,0
2012-01-01 08:00:00,0,0,0
2012-01-01 09:00:00,0,0,0
2012-01-01 10:00:00,0,0,0
2012-01-01 11:00:00,0,0,0
2012-01-01 12:00:00,0,0,0
2012-01-01 13:00:00,0,0,0.016
2012-01-01 14:00:00,0.475,0.591,0.627
2012-01-01 15:00:00,0.706,0.785,0.79
2012-01-01 16:00:00,0.794,0.846,0.845
2012-01-01 17:00:00,0.834,0.873,0.869
2012-01-01 18:00:00,0.84,0.877,0.87
2012-01-01 19:00:00,0.83,0.866,0.859
2012-01-01 20:00:00,0.796,0.833,0.822
2012-01-01 21:00:00,0.726,0.771,0.755
2012-01-01 22:00:00,0.59,0.64,0.614
2012-01-01 23:00:00,0.278,0.266,0.189
2012-01-02 00:00:00,0,0,0
2012-01-02 01:00:00,0,0,0
2012-01-02 02:00:00,0,0,0
2012-01-02 03:00:00,0,0,0
2012-01-02 04:00:00,0,0,0
2012-01-02 05:00:00,0,0,0
2012-01-02 06:00:00,0,0,0
2012-01-02 07:00:00,0,0,0
2012-01-02 08:00:00,0,0,0
2012-01-02 09:00:00,0,0,0
2012-01-02 10:00:00,0,0,0
2012-01-02 11:00:00,0,0,0
2012-01-02 12:00:00,0,0,0
2012-01-02 13:00:00,0,0,0.013
2012-01-02 14:00:00,0.441,0.555,0.595
2012-01-02 15:00:00,0.681,0.764,0.774
2012-01-02 16:00:00,0.774,0.831,0.832
2012-01-02 17:00:00,0.813,0.859,0.857
2012-01-02 18:00:00,0.82,0.864,0.856
2012-01-02 19:00:00,0.81,0.851,0.846
2012-01-02 20:00:00,0.776,0.817,0.806
2012-01-02 21:00:00,0.707,0.752,0.733
2012-01-02 22:00:00,0.568,0.613,0.579
2012-01-02 23:00:00,0.258,0.245,0.163
2012-01-03 00:00:00,0,0,0
2012-01-03 01:00:00,0,0,0
2012-01-03 02:00:00,0,0,0
2012-01-03 03:00:00,0,0,0
2012-01-03 04:00:00,0,0,0
2012-01-03 05:00:00,0,0,0
2012-01-03 06:00:00,0,0,0
2012-01-03 07:00:00,0,0,0
2012-01-03 08:00:00,0,0,0
2012-01-03 09:00:00,0,0,0
2012-01-03 10:00:00,0,0,0
2012-01-03 11:00:00,0,0,0
2012-01-03 12:00:00,0,0,0
2012-01-03 13:00:00,0,0,0.012
2012-01-03 14:00:00,0.452,0.551,0.573
2012-01-03 15:00:00,0.677,0.759,0.759
2012-01-03 16:00:00,0.763,0.826,0.82
2012-01-03 17:00:00,0.795,0.847,0.84
2012-01-03 18:00:00,0.793,0.842,0.837
2012-01-03 19:00:00,0.778,0.825,0.822
2012-01-03 20:00:00,0.742,0.787,0.78
2012-01-03 21:00:00,0.674,0.728,0.719
2012-01-03 22:00:00,0.539,0.591,0.567
2012-01-03 23:00:00,0.238,0.238,0.162
2012-01-04 00:00:00,0,0,0
2012-01-04 01:00:00,0,0,0
2012-01-04 02:00:00,0,0,0
2012-01-04 03:00:00,0,0,0
2012-01-04 04:00:00,0,0,0
2012-01-04 05:00:00,0,0,0
2012-01-04 06:00:00,0,0,0
2012-01-04 07:00:00,0,0,0
2012-01-04 08:00:00,0,0,0
2012-01-04 09:00:00,0,0,0
2012-01-04 10:00:00,0,0,0
2012-01-04 11:00:00,0,0,0
2012-01-04 12:00:00,0,0,0
