"time","outputV1","outputV2","outputV3","outputV4","outputV5","outputV6"
2016-01-01 00:00:00,0.348,0.52,0.435,0.791,0.681,0.78
2016-01-01 01:00:00,0.451,0.613,0.479,0.794,0.737,0.828
2016-01-01 02:00:00,0.504,0.659,0.476,0.781,0.77,0.842
2016-01-01 03:00:00,0.484,0.661,0.453,0.808,0.766,0.866
2016-01-01 04:00:00,0.452,0.625,0.474,0.809,0.845,0.868
2016-01-01 05:00:00,0.399,0.566,0.455,0.849,0.854,0.871
2016-01-01 06:00:00,0.399,0.539,0.505,0.88,0.857,0.874
2016-01-01 07:00:00,0.424,0.544,0.53,0.902,0.857,0.912
2016-01-01 08:00:00,0.44,0.516,0.524,0.901,0.873,0.921
2016-01-01 09:00:00,0.408,0.531,0.508,0.918,0.882,0.912
2016-01-01 10:00:00,0.369,0.531,0.46,0.937,0.886,0.904
2016-01-01 11:00:00,0.307,0.523,0.453,0.947,0.893,0.911
2016-01-01 12:00:00,0.29,0.463,0.439,0.951,0.918,0.922
2016-01-01 13:00:00,0.318,0.43,0.438,0.955,0.948,0.939
2016-01-01 14:00:00,0.329,0.484,0.458,0.965,0.964,0.965
2016-01-01 15:00:00,0.404,0.526,0.471,0.957,0.965,0.973
2016-01-01 16:00:00,0.377,0.456,0.402,0.932,0.955,0.973
2016-01-01 17:00:00,0.305,0.349,0.35,0.898,0.937,0.971
2016-01-01 18:00:00,0.228,0.25,0.296,0.868,0.901,0.961
2016-01-01 19:00:00,0.151,0.159,0.222,0.816,0.841,0.933
2016-01-01 20:00:00,0.101,0.108,0.171,0.779,0.764,0.904
2016-01-01 21:00:00,0.068,0.085,0.139,0.761,0.75,0.906
2016-01-01 22:00:00,0.052,0.079,0.124,0.76,0.76,0.915
2016-01-01 23:00:00,0.064,0.079,0.114,0.708,0.715,0.902
2016-01-02 00:00:00,0.057,0.067,0.103,0.697,0.681,0.884
2016-01-02 01:00:00,0.02,0.029,0.061,0.749,0.696,0.873
2016-01-02 02:00:00,0.001,0.018,0.048,0.778,0.752,0.862
