Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,,
2000,1,1,1,2000,1,8760,8760,1,8929.6,,
,2,0.9,0.04,1800,,,,2,8444.8,,
,3,0.55,0.024,1100,,,,3,8084,,
,4,0.2,0.003,400,,,,4,7902.4,,
,,,,,,,,5,7874.4,,
,,,,,,,,6,8013.6,,
,,,,,,,,7,8312,,
,,,,,,,,8,8581.6,,
,,,,,,,,9,9038.4,,
,,,,,,,,10,9487.2,,
,,,,,,,,11,9756.8,,
,,,,,,,,12,9856.8,,
,,,,,,,,13,9904.8,,
,,,,,,,,14,9816,,
,,,,,,,,15,9719.2,,
,,,,,,,,16,9775.2,,
,,,,,,,,17,10728,,
,,,,,,,,18,11631.2,,
,,,,,,,,19,11563.2,,
,,,,,,,,20,11209.6,,
,,,,,,,,21,10795.2,,
,,,,,,,,22,10217.6,,
,,,,,,,,23,9501.6,,
,,,,,,,,24,8699.2,,
,,,,,,,,25,8020,,
,,,,,,,,26,7608.8,,
,,,,,,,,27,7411.2,,
,,,,,,,,28,7366.4,,
,,,,,,,,29,7528,,
,,,,,,,,30,7939.2,,
,,,,,,,,31,8556.8,,
,,,,,,,,32,9063.2,,
,,,,,,,,33,9684,,
,,,,,,,,34,10319.2,,
,,,,,,,,35,10785.6,,
,,,,,,,,36,10976.8,,
,,,,,,,,37,10959.2,,
,,,,,,,,38,10888.8,,
,,,,,,,,39,10854.4,,
,,,,,,,,40,11019.2,,
,,,,,,,,41,12052.8,,
,,,,,,,,42,13099.2,,
,,,,,,,,43,12984,,
,,,,,,,,44,12670.4,,
,,,,,,,,45,12157.6,,
,,,,,,,,46,11351.2,,
,,,,,,,,47,10352,,
,,,,,,,,48,9446.4,,
,,,,,,,,49,8845.6,,
,,,,,,,,50,8545.6,,
,,,,,,,,51,8401.6,,
,,,,,,,,52,8419.2,,
,,,,,,,,53,8720.8,,
,,,,,,,,54,9616.8,,
,,,,,,,,55,11202.4,,
,,,,,,,,56,12090.4,,
,,,,,,,,57,12240.8,,
,,,,,,,,58,12324.8,,
,,,,,,,,59,12435.2,,
,,,,,,,,60,12456,,
,,,,,,,,61,12405.6,,
,,,,,,,,62,12388,,
,,,,,,,,63,12340.8,,
,,,,,,,,64,12511.2,,
,,,,,,,,65,13488,,
,,,,,,,,66,14556,,
,,,,,,,,67,14584,,
,,,,,,,,68,14339.2,,
,,,,,,,,69,13872.8,,
,,,,,,,,70,13054.4,,
,,,,,,,,71,11961.6,,
,,,,,,,,72,11004.8,,
,,,,,,,,73,10409.6,,
,,,,,,,,74,10096.8,,
,,,,,,,,75,9937.6,,
,,,,,,,,76,9955.2,,
,,,,,,,,77,10227.2,,
,,,,,,,,78,11072,,
,,,,,,,,79,12608.8,,
,,,,,,,,80,13445.6,,
,,,,,,,,81,13462.4,,
,,,,,,,,82,13426.4,,
,,,,,,,,83,13396,,
,,,,,,,,84,13264.8,,
,,,,,,,,85,13075.2,,
,,,,,,,,86,12963.2,,
,,,,,,,,87,12860.8,,
,,,,,,,,88,12993.6,,
,,,,,,,,89,13902.4,,
,,,,,,,,90,14641.6,,
,,,,,,,,91,14528,,
,,,,,,,,92,14189.6,,
,,,,,,,,93,13646.4,,
,,,,,,,,94,12748.8,,
,,,,,,,,95,11604.8,,
,,,,,,,,96,10545.6,,
,,,,,,,,97,9868.8,,
,,,,,,,,98,9508,,
,,,,,,,,99,9324.8,,
,,,,,,,,100,9292,,
,,,,,,,,101,9530.4,,
,,,,,,,,102,10312,,
,,,,,,,,103,11797.6,,
,,,,,,,,104,12668,,
,,,,,,,,105,12760.8,,
,,,,,,,,106,12816.8,,
,,,,,,,,107,12759.2,,
,,,,,,,,108,12580.8,,
,,,,,,,,109,12424.8,,
,,,,,,,,110,12364,,
,,,,,,,,111,12266.4,,
,,,,,,,,112,12345.6,,
,,,,,,,,113,13129.6,,
,,,,,,,,114,13988,,
,,,,,,,,115,13937.6,,
,,,,,,,,116,13620.8,,
,,,,,,,,117,13112,,
,,,,,,,,118,12272,,
,,,,,,,,119,11141.6,,
,,,,,,,,120,10166.4,,
,,,,,,,,121,9527.2,,
,,,,,,,,122,9180.8,,
,,,,,,,,123,9003.2,,
,,,,,,,,124,8959.2,,
,,,,,,,,125,9177.6,,
,,,,,,,,126,9953.6,,
,,,,,,,,127,11412,,
,,,,,,,,128,12286.4,,
,,,,,,,,129,12387.2,,
,,,,,,,,130,12400,,
,,,,,,,,131,12345.6,,
,,,,,,,,132,12162.4,,
,,,,,,,,133,11961.6,,
,,,,,,,,134,11856,,
,,,,,,,,135,11691.2,,
,,,,,,,,136,11748,,
,,,,,,,,137,12432.8,,
,,,,,,,,138,13089.6,,
,,,,,,,,139,12880,,
,,,,,,,,140,12508,,
,,,,,,,,141,12013.6,,
,,,,,,,,142,11369.6,,
,,,,,,,,143,10492.8,,
,,,,,,,,144,9592,,
,,,,,,,,145,8895.2,,
,,,,,,,,146,8508.8,,
,,,,,,,,147,8298.4,,
,,,,,,,,148,8214.4,,
,,,,,,,,149,8296,,
,,,,,,,,150,8612,,
,,,,,,,,151,9182.4,,
,,,,,,,,152,9784,,
,,,,,,,,153,10400.8,,
,,,,,,,,154,10772.8,,
,,,,,,,,155,10877.6,,
,,,,,,,,156,10790.4,,
,,,,,,,,157,10592,,
,,,,,,,,158,10368,,
