Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,1,1,1,2000,1,8760,8760,1,2790.5
,2,0.9,0.04,1800,,,,2,2639
,3,0.55,0.024,1100,,,,3,2526.25
,4,0.2,0.003,400,,,,4,2469.5
,,,,,,,,5,2460.75
,,,,,,,,6,2504.25
,,,,,,,,7,2597.5
,,,,,,,,8,2681.75
,,,,,,,,9,2824.5
,,,,,,,,10,2964.75
,,,,,,,,11,3049
,,,,,,,,12,3080.25
,,,,,,,,13,3095.25
,,,,,,,,14,3067.5
,,,,,,,,15,3037.25
,,,,,,,,16,3054.75
,,,,,,,,17,3352.5
,,,,,,,,18,3634.75
,,,,,,,,19,3613.5
,,,,,,,,20,3503
,,,,,,,,21,3373.5
,,,,,,,,22,3193
,,,,,,,,23,2969.25
,,,,,,,,24,2718.5
,,,,,,,,25,2506.25
,,,,,,,,26,2377.75
,,,,,,,,27,2316
,,,,,,,,28,2302
,,,,,,,,29,2352.5
,,,,,,,,30,2481
,,,,,,,,31,2674
,,,,,,,,32,2832.25
,,,,,,,,33,3026.25
,,,,,,,,34,3224.75
,,,,,,,,35,3370.5
,,,,,,,,36,3430.25
,,,,,,,,37,3424.75
,,,,,,,,38,3402.75
,,,,,,,,39,3392
,,,,,,,,40,3443.5
,,,,,,,,41,3766.5
,,,,,,,,42,4093.5
,,,,,,,,43,4057.5
,,,,,,,,44,3959.5
,,,,,,,,45,3799.25
,,,,,,,,46,3547.25
,,,,,,,,47,3235
,,,,,,,,48,2952
,,,,,,,,49,2764.25
,,,,,,,,50,2670.5
,,,,,,,,51,2625.5
,,,,,,,,52,2631
,,,,,,,,53,2725.25
,,,,,,,,54,3005.25
,,,,,,,,55,3500.75
,,,,,,,,56,3778.25
,,,,,,,,57,3825.25
,,,,,,,,58,3851.5
,,,,,,,,59,3886
,,,,,,,,60,3892.5
,,,,,,,,61,3876.75
,,,,,,,,62,3871.25
,,,,,,,,63,3856.5
,,,,,,,,64,3909.75
,,,,,,,,65,4215
,,,,,,,,66,4548.75
,,,,,,,,67,4557.5
,,,,,,,,68,4481
,,,,,,,,69,4335.25
,,,,,,,,70,4079.5
,,,,,,,,71,3738
,,,,,,,,72,3439
,,,,,,,,73,3253
,,,,,,,,74,3155.25
,,,,,,,,75,3105.5
,,,,,,,,76,3111
,,,,,,,,77,3196
,,,,,,,,78,3460
,,,,,,,,79,3940.25
,,,,,,,,80,4201.75
,,,,,,,,81,4207
,,,,,,,,82,4195.75
,,,,,,,,83,4186.25
,,,,,,,,84,4145.25
,,,,,,,,85,4086
,,,,,,,,86,4051
,,,,,,,,87,4019
,,,,,,,,88,4060.5
,,,,,,,,89,4344.5
,,,,,,,,90,4575.5
,,,,,,,,91,4540
,,,,,,,,92,4434.25
,,,,,,,,93,4264.5
,,,,,,,,94,3984
,,,,,,,,95,3626.5
,,,,,,,,96,3295.5
,,,,,,,,97,3084
,,,,,,,,98,2971.25
,,,,,,,,99,2914
,,,,,,,,100,2903.75
,,,,,,,,101,2978.25
,,,,,,,,102,3222.5
,,,,,,,,103,3686.75
,,,,,,,,104,3958.75
,,,,,,,,105,3987.75
,,,,,,,,106,4005.25
,,,,,,,,107,3987.25
,,,,,,,,108,3931.5
,,,,,,,,109,3882.75
,,,,,,,,110,3863.75
,,,,,,,,111,3833.25
,,,,,,,,112,3858
,,,,,,,,113,4103
,,,,,,,,114,4371.25
,,,,,,,,115,4355.5
,,,,,,,,116,4256.5
,,,,,,,,117,4097.5
