Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1_scen1,Load_MW_z1_scen2,Load_MW_z1_scen3,Load_MW_z2_scen1,Load_MW_z2_scen2,Load_MW_z2_scen3,Load_MW_z3_scen1,Load_MW_z3_scen2,Load_MW_z3_scen3
2000,1,1,1,2000,1,168,1,1,7850,8242.5,7457.5,2242,2354.1,2129.9,1070,1123.5,1016.5
,2,0.9,0.04,1800,,,,2,7424,7795.2,7052.8,2120,2226,2014,1012,1062.6,961.4
,3,0.55,0.024,1100,,,,3,7107,7462.35,6751.65,2029,2130.45,1927.55,969,1017.45,920.55
,4,0.2,0.003,400,,,,4,6947,7294.35,6599.65,1984,2083.2,1884.8,947,994.35,899.65
,,,,,,,,5,6922,7268.1,6575.9,1977,2075.85,1878.15,944,991.2,896.8
,,,,,,,,6,7045,7397.25,6692.75,2012,2112.6,1911.4,960,1008,912
,,,,,,,,7,7307,7672.35,6941.65,2087,2191.35,1982.65,996,1045.8,946.2
,,,,,,,,8,7544,7921.2,7166.8,2154,2261.7,2046.3,1029,1080.45,977.55
,,,,,,,,9,7946,8343.3,7548.7,2269,2382.45,2155.55,1083,1137.15,1028.85
,,,,,,,,10,8340,8757,7923,2382,2501.1,2262.9,1137,1193.85,1080.15
,,,,,,,,11,8578,9006.9,8149.1,2449,2571.45,2326.55,1169,1227.45,1110.55
,,,,,,,,12,8666,9099.3,8232.7,2474,2597.7,2350.3,1181,1240.05,1121.95
,,,,,,,,13,8707,9142.35,8271.65,2487,2611.35,2362.65,1187,1246.35,1127.65
,,,,,,,,14,8630,9061.5,8198.5,2464,2587.2,2340.8,1176,1234.8,1117.2
,,,,,,,,15,8544,8971.2,8116.8,2440,2562,2318,1165,1223.25,1106.75
,,,,,,,,16,8594,9023.7,8164.3,2454,2576.7,2331.3,1171,1229.55,1112.45
,,,,,,,,17,9431,9902.55,8959.45,2693,2827.65,2558.35,1286,1350.3,1221.7
