Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
2000,1,1,1,2000,1,168,1,1,8242.5,2354.1,1123.5
,2,0.9,0.04,1800,,,,2,7795.2,2226,1062.6
,3,0.55,0.024,1100,,,,3,7462.35,2130.45,1017.45
,4,0.2,0.003,400,,,,4,7294.35,2083.2,994.35
,,,,,,,,5,7268.1,2075.85,991.2
,,,,,,,,6,7397.25,2112.6,1008
,,,,,,,,7,7672.35,2191.35,1045.8
,,,,,,,,8,7921.2,2261.7,1080.45
,,,,,,,,9,8343.3,2382.45,1137.15
,,,,,,,,10,8757,2501.1,1193.85
,,,,,,,,11,9006.9,2571.45,1227.45
,,,,,,,,12,9099.3,2597.7,1240.05
,,,,,,,,13,9142.35,2611.35,1246.35
,,,,,,,,14,9061.5,2587.2,1234.8
,,,,,,,,15,8971.2,2562,1223.25
,,,,,,,,16,9023.7,2576.7,1229.55
,,,,,,,,17,9902.55,2827.65,1350.3
,,,,,,,,18,10736.25,3066,1463.7
,,,,,,,,19,10673.25,3048.15,1455.3
,,,,,,,,20,10346.7,2955.75,1410.15
,,,,,,,,21,9964.5,2845.5,1358.7
,,,,,,,,22,9431.1,2693.25,1286.25
,,,,,,,,23,8770.65,2504.25,1195.95
,,,,,,,,24,8030.4,2293.2,1094.1
,,,,,,,,25,7403.55,2113.65,1009.05
,,,,,,,,26,7023.45,2005.5,957.6
,,,,,,,,27,6840.75,1954.05,932.4
,,,,,,,,28,6799.8,1941.45,927.15
,,,,,,,,29,6948.9,1984.5,947.1
,,,,,,,,30,7329,2092.65,998.55
,,,,,,,,31,7899.15,2255.4,1076.25
,,,,,,,,32,8366.4,2388.75,1140.3
,,,,,,,,33,8938.65,2552.55,1219.05
,,,,,,,,34,9525.6,2720.55,1297.8
,,,,,,,,35,9956.1,2843.4,1356.6
,,,,,,,,36,10132.5,2892.75,1381.8
,,,,,,,,37,10116.75,2888.55,1378.65
,,,,,,,,38,10050.6,2870.7,1370.25
,,,,,,,,39,10019.1,2861.25,1366.05
,,,,,,,,40,10171.35,2904.3,1387.05
,,,,,,,,41,11125.8,3177.3,1516.2
,,,,,,,,42,12090.75,3453.45,1648.5
,,,,,,,,43,11984.7,3423,1633.8
,,,,,,,,44,11694.9,3340.05,1594.95
,,,,,,,,45,11222.4,3204.6,1529.85
,,,,,,,,46,10477.95,2992.5,1428
,,,,,,,,47,9555,2728.95,1303.05
,,,,,,,,48,8719.2,2490.6,1188.6
,,,,,,,,49,8164.8,2332.05,1113
,,,,,,,,50,7888.65,2252.25,1075.2
,,,,,,,,51,7755.3,2214.45,1057.35
,,,,,,,,52,7771.05,2219.7,1059.45
,,,,,,,,53,8050.35,2298.45,1097.25
,,,,,,,,54,8877.75,2534.7,1209.6
,,,,,,,,55,10340.4,2952.6,1410.15
,,,,,,,,56,11160.45,3186.75,1521.45
,,,,,,,,57,11299.05,3226.65,1540.35
,,,,,,,,58,11376.75,3248.7,1550.85
,,,,,,,,59,11478.6,3278.1,1564.5
,,,,,,,,60,11497.5,3283.35,1567.65
,,,,,,,,61,11450.25,3270.75,1561.35
,,,,,,,,62,11434.5,3266.55,1558.2
,,,,,,,,63,11391.45,3252.9,1552.95
,,,,,,,,64,11548.95,3298.05,1573.95
,,,,,,,,65,12450.9,3555.3,1696.8
,,,,,,,,66,13435.8,3836.7,1832.25
,,,,,,,,67,13462.05,3844.05,1835.4
,,,,,,,,68,13235.25,3780,1804.95
,,,,,,,,69,12804.75,3657.15,1746.15
,,,,,,,,70,12049.8,3440.85,1643.25
,,,,,,,,71,11040.75,3153.15,1505.7
,,,,,,,,72,10157.7,2901.15,1384.95
,,,,,,,,73,9608.55,2744.7,1309.35
,,,,,,,,74,9319.8,2661.75,1270.5
,,,,,,,,75,9172.8,2619.75,1250.55
,,,,,,,,76,9189.6,2623.95,1252.65
,,,,,,,,77,9439.5,2696.4,1287.3
,,,,,,,,78,10219.65,2919,1393.35
,,,,,,,,79,11638.2,3324.3,1586.55
,,,,,,,,80,12411,3544.8,1691.55
,,,,,,,,81,12425.7,3549,1694.7
,,,,,,,,82,12393.15,3539.55,1689.45
,,,,,,,,83,12365.85,3531.15,1685.25
,,,,,,,,84,12244.05,3496.5,1669.5
,,,,,,,,85,12068.7,3447.15,1645.35
,,,,,,,,86,11964.75,3417.75,1631.7
,,,,,,,,87,11871.3,3390.45,1618.05
,,,,,,,,88,11994.15,3425.1,1634.85
,,,,,,,,89,12832.05,3665.55,1749.3
,,,,,,,,90,13514.55,3859.8,1842.75
,,,,,,,,91,13410.6,3829.35,1828.05
,,,,,,,,92,13097.7,3740.1,1786.05
,,,,,,,,93,12596.85,3597.3,1716.75
,,,,,,,,94,11767.35,3361.05,1604.4
,,,,,,,,95,10711.05,3059.7,1460.55
,,,,,,,,96,9733.5,2780.4,1327.2
,,,,,,,,97,9109.8,2601.9,1241.1
,,,,,,,,98,8775.9,2506.35,1197
,,,,,,,,99,8607.9,2458.05,1172.85
,,,,,,,,100,8576.4,2449.65,1169.7
,,,,,,,,101,8796.9,2512.65,1199.1
,,,,,,,,102,9518.25,2718.45,1297.8
,,,,,,,,103,10889.55,3110.1,1484.7
,,,,,,,,104,11692.8,3340.05,1593.9
,,,,,,,,105,11777.85,3364.2,1606.5
,,,,,,,,106,11830.35,3378.9,1612.8
,,,,,,,,107,11776.8,3363.15,1606.5
,,,,,,,,108,11611.95,3316.95,1583.4
,,,,,,,,109,11469.15,3274.95,1563.45
,,,,,,,,110,11412.45,3259.2,1556.1
,,,,,,,,111,11322.15,3234,1543.5
,,,,,,,,112,11395.65,3255,1552.95
,,,,,,,,113,12119.1,3460.8,1652.7
,,,,,,,,114,12911.85,3687.6,1759.8
,,,,,,,,115,12864.6,3673.95,1754.55
,,,,,,,,116,12572.7,3591,1713.6
,,,,,,,,117,12103.35,3456.6,1649.55
,,,,,,,,118,11327.4,3235.05,1544.55
,,,,,,,,119,10284.75,2936.85,1401.75
,,,,,,,,120,9383.85,2680.65,1278.9
,,,,,,,,121,8794.8,2511.6,1198.05
,,,,,,,,122,8474.55,2420.25,1155
,,,,,,,,123,8310.75,2373,1132.95
,,,,,,,,124,8269.8,2361.45,1127.7
,,,,,,,,125,8471.4,2419.2,1155
,,,,,,,,126,9187.5,2623.95,1252.65
,,,,,,,,127,10533.6,3008.25,1436.4
,,,,,,,,128,11340,3239.25,1546.65
,,,,,,,,129,11434.5,3265.5,1558.2
,,,,,,,,130,11446.05,3268.65,1560.3
