Time_Index,NG_scenario_2,None
0,0.055713,0
1,5.544,0
2,5.544,0
3,5.544,0
4,5.544,0
5,5.544,0
6,5.544,0
7,5.544,0
8,5.544,0
9,5.544,0
10,5.544,0
11,5.544,0
12,5.544,0
13,5.544,0
14,5.544,0
15,5.544,0
16,5.544,0
17,5.544,0
18,5.544,0
19,5.544,0
20,5.544,0
21,5.544,0
22,5.544,0
23,5.544,0
24,5.544,0
25,5.544,0
26,5.544,0
27,5.544,0
28,5.544,0
29,5.544,0
30,5.544,0
31,5.544,0
32,5.544,0
33,5.544,0
34,5.544,0
35,5.544,0
36,5.544,0
37,5.544,0
38,5.544,0
39,5.544,0
40,5.544,0
41,5.544,0
42,5.544,0
43,5.544,0
44,5.544,0
45,5.544,0
46,5.544,0
47,5.544,0
48,5.544,0
49,5.544,0
50,5.544,0
51,5.544,0
52,5.544,0
53,5.544,0
54,5.544,0
55,5.544,0
56,5.544,0
57,5.544,0
58,5.544,0
59,5.544,0
60,5.544,0
61,5.544,0
62,5.544,0
63,5.544,0
64,5.544,0
65,5.544,0
66,5.544,0
67,5.544,0
68,5.544,0
69,5.544,0
70,5.544,0
71,5.544,0
72,5.544,0
73,5.544,0
74,5.544,0
75,5.544,0
76,5.544,0
77,5.544,0
78,5.544,0
79,5.544,0
80,5.544,0
81,5.544,0
82,5.544,0
83,5.544,0
84,5.544,0
85,5.544,0
86,5.544,0
87,5.544,0
88,5.544,0
89,5.544,0
90,5.544,0
91,5.544,0
92,5.544,0
93,5.544,0
94,5.544,0
95,5.544,0
96,5.544,0
97,5.544,0
98,5.544,0
99,5.544,0
100,5.544,0
101,5.544,0
102,5.544,0
103,5.544,0
104,5.544,0
105,5.544,0
106,5.544,0
107,5.544,0
108,5.544,0
109,5.544,0
110,5.544,0
111,5.544,0
112,5.544,0
113,5.544,0
114,5.544,0
115,5.544,0
116,5.544,0
117,5.544,0
118,5.544,0
119,5.544,0
120,5.544,0
121,5.544,0
122,5.544,0
123,5.544,0
124,5.544,0
125,5.544,0
126,5.544,0
127,5.544,0
128,5.544,0
129,5.544,0
130,5.544,0
131,5.544,0
132,5.544,0
133,5.544,0
134,5.544,0
135,5.544,0
136,5.544,0
137,5.544,0
138,5.544,0
139,5.544,0
140,5.544,0
141,5.544,0
142,5.544,0
143,5.544,0
144,5.544,0
145,5.544,0
146,5.544,0
147,5.544,0
148,5.544,0
149,5.544,0
150,5.544,0
151,5.544,0
152,5.544,0
153,5.544,0
154,5.544,0
155,5.544,0
156,5.544,0
157,5.544,0
158,5.544,0
159,5.544,0
160,5.544,0
161,5.544,0
162,5.544,0
163,5.544,0
164,5.544,0
165,5.544,0
166,5.544,0
167,5.544,0
168,5.544,0
169,5.544,0
170,5.544,0
171,5.544,0
172,5.544,0
173,5.544,0
174,5.544,0
175,5.544,0
176,5.544,0
177,5.544,0
178,5.544,0
179,5.544,0
180,5.544,0
181,5.544,0
182,5.544,0
183,5.544,0
184,5.544,0
185,5.544,0
186,5.544,0
187,5.544,0
188,5.544,0
189,5.544,0
190,5.544,0
191,5.544,0
192,5.544,0
193,5.544,0
194,5.544,0
195,5.544,0
196,5.544,0
197,5.544,0
198,5.544,0
199,5.544,0
200,5.544,0
201,5.544,0
202,5.544,0
203,5.544,0
204,5.544,0
205,5.544,0
206,5.544,0
207,5.544,0
208,5.544,0
209,5.544,0
210,5.544,0
211,5.544,0
212,5.544,0
213,5.544,0
214,5.544,0
215,5.544,0
216,5.544,0
217,5.544,0
218,5.544,0
219,5.544,0
220,5.544,0
221,5.544,0
222,5.544,0
223,5.544,0
224,5.544,0
225,5.544,0
226,5.544,0
227,5.544,0
228,5.544,0
229,5.544,0
230,5.544,0
231,5.544,0
232,5.544,0
233,5.544,0
234,5.544,0
235,5.544,0
236,5.544,0
237,5.544,0
238,5.544,0
239,5.544,0
240,5.544,0
241,5.544,0
242,5.544,0
243,5.544,0
244,5.544,0
245,5.544,0
246,5.544,0
247,5.544,0
248,5.544,0
249,5.544,0
250,5.544,0
251,5.544,0
252,5.544,0
253,5.544,0
254,5.544,0
255,5.544,0
256,5.544,0
257,5.544,0
258,5.544,0
259,5.544,0
260,5.544,0
261,5.544,0
262,5.544,0
263,5.544,0
264,5.544,0
265,5.544,0
266,5.544,0
267,5.544,0
268,5.544,0
269,5.544,0
270,5.544,0
271,5.544,0
272,5.544,0
273,5.544,0
274,5.544,0
275,5.544,0
276,5.544,0
277,5.544,0
278,5.544,0
279,5.544,0
280,5.544,0
281,5.544,0
282,5.544,0
283,5.544,0
284,5.544,0
285,5.544,0
286,5.544,0
287,5.544,0
288,5.544,0
289,5.544,0
290,5.544,0
291,5.544,0
292,5.544,0
293,5.544,0
294,5.544,0
295,5.544,0
296,5.544,0
297,5.544,0
298,5.544,0
299,5.544,0
300,5.544,0
301,5.544,0
302,5.544,0
303,5.544,0
304,5.544,0
305,5.544,0
306,5.544,0
307,5.544,0
308,5.544,0
309,5.544,0
310,5.544,0
311,5.544,0
312,5.544,0
313,5.544,0
314,5.544,0
315,5.544,0
316,5.544,0
317,5.544,0
318,5.544,0
319,5.544,0
320,5.544,0
321,5.544,0
322,5.544,0
323,5.544,0
324,5.544,0
325,5.544,0
326,5.544,0
327,5.544,0
328,5.544,0
329,5.544,0
330,5.544,0
331,5.544,0
332,5.544,0
333,5.544,0
334,5.544,0
335,5.544,0
336,5.544,0
337,5.544,0
338,5.544,0
339,5.544,0
340,5.544,0
341,5.544,0
342,5.544,0
343,5.544,0
344,5.544,0
345,5.544,0
346,5.544,0
347,5.544,0
348,5.544,0
349,5.544,0
350,5.544,0
351,5.544,0
352,5.544,0
353,5.544,0
354,5.544,0
355,5.544,0
356,5.544,0
357,5.544,0
358,5.544,0
359,5.544,0
360,5.544,0
361,5.544,0
362,5.544,0
363,5.544,0
364,5.544,0
365,5.544,0
366,5.544,0
367,5.544,0
368,5.544,0
369,5.544,0
370,5.544,0
371,5.544,0
372,5.544,0
373,5.544,0
374,5.544,0
375,5.544,0
376,5.544,0
377,5.544,0
378,5.544,0
379,5.544,0
380,5.544,0
381,5.544,0
382,5.544,0
383,5.544,0
384,5.544,0
385,5.544,0
386,5.544,0
387,5.544,0
388,5.544,0
389,5.544,0
390,5.544,0
391,5.544,0
392,5.544,0
393,5.544,0
394,5.544,0
395,5.544,0
396,5.544,0
397,5.544,0
398,5.544,0
399,5.544,0
400,5.544,0
401,5.544,0
402,5.544,0
403,5.544,0
404,5.544,0
405,5.544,0
406,5.544,0
407,5.544,0
408,5.544,0
409,5.544,0
410,5.544,0
411,5.544,0
412,5.544,0
413,5.544,0
414,5.544,0
415,5.544,0
416,5.544,0
417,5.544,0
418,5.544,0
419,5.544,0
420,5.544,0
421,5.544,0
422,5.544,0
423,5.544,0
424,5.544,0
425,5.544,0
426,5.544,0
427,5.544,0
428,5.544,0
429,5.544,0
430,5.544,0
431,5.544,0
432,5.544,0
433,5.544,0
434,5.544,0
435,5.544,0
436,5.544,0
437,5.544,0
438,5.544,0
439,5.544,0
440,5.544,0
441,5.544,0
442,5.544,0
443,5.544,0
444,5.544,0
445,5.544,0
446,5.544,0
447,5.544,0
448,5.544,0
449,5.544,0
450,5.544,0
451,5.544,0
452,5.544,0
453,5.544,0
454,5.544,0
455,5.544,0
456,5.544,0
457,5.544,0
458,5.544,0
459,5.544,0
460,5.544,0
461,5.544,0
462,5.544,0
463,5.544,0
464,5.544,0
465,5.544,0
466,5.544,0
467,5.544,0
468,5.544,0
469,5.544,0
470,5.544,0
471,5.544,0
472,5.544,0
473,5.544,0
474,5.544,0
475,5.544,0
476,5.544,0
477,5.544,0
478,5.544,0
479,5.544,0
480,5.544,0
481,5.544,0
482,5.544,0
483,5.544,0
484,5.544,0
485,5.544,0
486,5.544,0
487,5.544,0
488,5.544,0
489,5.544,0
490,5.544,0
491,5.544,0
492,5.544,0
493,5.544,0
494,5.544,0
495,5.544,0
496,5.544,0
497,5.544,0
498,5.544,0
499,5.544,0
500,5.544,0
501,5.544,0
502,5.544,0
503,5.544,0
504,5.544,0
505,5.544,0
506,5.544,0
507,5.544,0
508,5.544,0
509,5.544,0
510,5.544,0
511,5.544,0
512,5.544,0
513,5.544,0
514,5.544,0
515,5.544,0
516,5.544,0
517,5.544,0
518,5.544,0
519,5.544,0
520,5.544,0
521,5.544,0
522,5.544,0
523,5.544,0
524,5.544,0
525,5.544,0
526,5.544,0
527,5.544,0
528,5.544,0
529,5.544,0
530,5.544,0
531,5.544,0
532,5.544,0
533,5.544,0
534,5.544,0
535,5.544,0
536,5.544,0
537,5.544,0
538,5.544,0
539,5.544,0
540,5.544,0
541,5.544,0
542,5.544,0
543,5.544,0
544,5.544,0
545,5.544,0
546,5.544,0
547,5.544,0
548,5.544,0
549,5.544,0
550,5.544,0
551,5.544,0
552,5.544,0
553,5.544,0
554,5.544,0
555,5.544,0
556,5.544,0
557,5.544,0
558,5.544,0
559,5.544,0
560,5.544,0
561,5.544,0
562,5.544,0
563,5.544,0
564,5.544,0
565,5.544,0
566,5.544,0
567,5.544,0
568,5.544,0
569,5.544,0
570,5.544,0
571,5.544,0
572,5.544,0
573,5.544,0
574,5.544,0
575,5.544,0
576,5.544,0
577,5.544,0
578,5.544,0
579,5.544,0
580,5.544,0
581,5.544,0
582,5.544,0
583,5.544,0
584,5.544,0
585,5.544,0
586,5.544,0
587,5.544,0
588,5.544,0
589,5.544,0
590,5.544,0
591,5.544,0
592,5.544,0
593,5.544,0
594,5.544,0
595,5.544,0
596,5.544,0
597,5.544,0
598,5.544,0
599,5.544,0
600,5.544,0
601,5.544,0
602,5.544,0
603,5.544,0
604,5.544,0
605,5.544,0
606,5.544,0
607,5.544,0
608,5.544,0
609,5.544,0
610,5.544,0
611,5.544,0
612,5.544,0
613,5.544,0
614,5.544,0
615,5.544,0
616,5.544,0
617,5.544,0
618,5.544,0
619,5.544,0
620,5.544,0
621,5.544,0
622,5.544,0
623,5.544,0
624,5.544,0
625,5.544,0
626,5.544,0
627,5.544,0
628,5.544,0
629,5.544,0
630,5.544,0
631,5.544,0
632,5.544,0
633,5.544,0
634,5.544,0
635,5.544,0
636,5.544,0
637,5.544,0
638,5.544,0
639,5.544,0
640,5.544,0
641,5.544,0
642,5.544,0
643,5.544,0
644,5.544,0
645,5.544,0
646,5.544,0
647,5.544,0
648,5.544,0
649,5.544,0
650,5.544,0
651,5.544,0
652,5.544,0
653,5.544,0
654,5.544,0
655,5.544,0
656,5.544,0
657,5.544,0
658,5.544,0
659,5.544,0
660,5.544,0
661,5.544,0
662,5.544,0
663,5.544,0
664,5.544,0
665,5.544,0
666,5.544,0
667,5.544,0
668,5.544,0
669,5.544,0
670,5.544,0
671,5.544,0
672,5.544,0
673,5.544,0
674,5.544,0
675,5.544,0
676,5.544,0
677,5.544,0
678,5.544,0
679,5.544,0
680,5.544,0
681,5.544,0
682,5.544,0
683,5.544,0
684,5.544,0
685,5.544,0
686,5.544,0
687,5.544,0
688,5.544,0
689,5.544,0
690,5.544,0
691,5.544,0
692,5.544,0
693,5.544,0
694,5.544,0
695,5.544,0
696,5.544,0
697,5.544,0
698,5.544,0
699,5.544,0
700,5.544,0
701,5.544,0
702,5.544,0
703,5.544,0
704,5.544,0
705,5.544,0
706,5.544,0
707,5.544,0
708,5.544,0
709,5.544,0
710,5.544,0
711,5.544,0
712,5.544,0
713,5.544,0
714,5.544,0
715,5.544,0
716,5.544,0
717,5.544,0
718,5.544,0
719,5.544,0
720,5.544,0
721,5.544,0
722,5.544,0
723,5.544,0
724,5.544,0
725,5.544,0
726,5.544,0
727,5.544,0
728,5.544,0
729,5.544,0
730,5.544,0
731,5.544,0
732,5.544,0
733,5.544,0
734,5.544,0
735,5.544,0
736,5.544,0
737,5.544,0
738,5.544,0
739,5.544,0
