Time_Index,NG,None
0,0.07309015,0
1,7.2732,0
2,7.2732,0
3,7.2732,0
4,7.2732,0
5,7.2732,0
6,7.2732,0
7,7.2732,0
8,7.2732,0
9,7.2732,0
10,7.2732,0
11,7.2732,0
12,7.2732,0
13,7.2732,0
14,7.2732,0
15,7.2732,0
16,7.2732,0
17,7.2732,0
18,7.2732,0
19,7.2732,0
20,7.2732,0
21,7.2732,0
22,7.2732,0
23,7.2732,0
24,7.2732,0
25,7.2732,0
26,7.2732,0
27,7.2732,0
28,7.2732,0
29,7.2732,0
30,7.2732,0
31,7.2732,0
32,7.2732,0
33,7.2732,0
34,7.2732,0
35,7.2732,0
36,7.2732,0
37,7.2732,0
38,7.2732,0
39,7.2732,0
40,7.2732,0
41,7.2732,0
42,7.2732,0
43,7.2732,0
44,7.2732,0
45,7.2732,0
46,7.2732,0
47,7.2732,0
48,7.2732,0
49,7.2732,0
50,7.2732,0
51,7.2732,0
52,7.2732,0
53,7.2732,0
54,7.2732,0
55,7.2732,0
56,7.2732,0
57,7.2732,0
58,7.2732,0
59,7.2732,0
60,7.2732,0
61,7.2732,0
62,7.2732,0
63,7.2732,0
64,7.2732,0
65,7.2732,0
66,7.2732,0
67,7.2732,0
68,7.2732,0
69,7.2732,0
70,7.2732,0
71,7.2732,0
72,7.2732,0
73,7.2732,0
74,7.2732,0
75,7.2732,0
76,7.2732,0
77,7.2732,0
78,7.2732,0
79,7.2732,0
80,7.2732,0
81,7.2732,0
82,7.2732,0
83,7.2732,0
84,7.2732,0
85,7.2732,0
86,7.2732,0
87,7.2732,0
88,7.2732,0
89,7.2732,0
90,7.2732,0
91,7.2732,0
92,7.2732,0
93,7.2732,0
94,7.2732,0
95,7.2732,0
96,7.2732,0
97,7.2732,0
98,7.2732,0
99,7.2732,0
100,7.2732,0
101,7.2732,0
102,7.2732,0
103,7.2732,0
104,7.2732,0
105,7.2732,0
106,7.2732,0
107,7.2732,0
108,7.2732,0
109,7.2732,0
110,7.2732,0
111,7.2732,0
112,7.2732,0
113,7.2732,0
114,7.2732,0
115,7.2732,0
116,7.2732,0
117,7.2732,0
118,7.2732,0
119,7.2732,0
120,7.2732,0
121,7.2732,0
122,7.2732,0
123,7.2732,0
124,7.2732,0
125,7.2732,0
126,7.2732,0
127,7.2732,0
128,7.2732,0
129,7.2732,0
130,7.2732,0
131,7.2732,0
132,7.2732,0
133,7.2732,0
134,7.2732,0
135,7.2732,0
136,7.2732,0
137,7.2732,0
138,7.2732,0
139,7.2732,0
140,7.2732,0
141,7.2732,0
142,7.2732,0
143,7.2732,0
