Time_Index,natural_gas_combined_cycle,solar_pv_scen_1,onshore_wind_scen_1,solar_pv_scen_2,onshore_wind_scen_2,solar_pv_scen_3,onshore_wind_scen_3,solar_pv_scen_4,onshore_wind_scen_4,solar_pv_scen_5,onshore_wind_scen_5,battery
1,1,0,0.889717042,0,0.934202894,0,0.978688746,0,0.84523119,0,0.800745338,1
2,1,0,0.877715468,0,0.921601241,0,0.965487015,0,0.833829695,0,0.789943921,1
3,1,0,0.903424203,0,0.948595413,0,0.993766623,0,0.858252993,0,0.813081783,1
4,1,0,0.895153165,0,0.939910823,0,0.984668482,0,0.850395507,0,0.805637849,1
5,1,0,0.757258117,0,0.795121023,0,0.832983929,0,0.719395211,0,0.681532305,1
6,1,0,0.630928695,0,0.66247513,0,0.694021565,0,0.59938226,0,0.567835826,1
7,1,0,0.557177782,0,0.585036671,0,0.61289556,0,0.529318893,0,0.501460004,1
8,1,0,0.6072492,0,0.63761166,0,0.66797412,0,0.57688674,0,0.54652428,1
9,1,0.1779,0.423417866,0.186795,0.444588759,0.19569,0.465759653,0.169005,0.402246973,0.16011,0.381076079,1
10,1,0.429,0.007470775,0.45045,0.007844314,0.4719,0.008217853,0.40755,0.007097236,0.3861,0.006723698,1
11,1,0.5748,0.002535942,0.60354,0.002662739,0.63228,0.002789536,0.54606,0.002409145,0.51732,0.002282348,1
12,1,0.6484,0.002153709,0.68082,0.002261394,0.71324,0.00236908,0.61598,0.002046024,0.58356,0.001938338,1
13,1,0.6208,0.00445132,0.65184,0.004673886,0.68288,0.004896452,0.58976,0.004228754,0.55872,0.004006188,1
14,1,0.596,0.007711587,0.6258,0.008097166,0.6556,0.008482746,0.5662,0.007326008,0.5364,0.006940428,1
15,1,0.5013,0.100848213,0.526365,0.105890624,0.55143,0.110933034,0.476235,0.095805802,0.45117,0.090763392,1
16,1,0.3311,0.201802149,0.347655,0.211892256,0.36421,0.221982364,0.314545,0.191712042,0.29799,0.181621934,1
17,1,0.0642,0.141933054,0.06741,0.149029707,0.07062,0.156126359,0.06099,0.134836401,0.05778,0.127739749,1
18,1,0,0.567022562,0,0.59537369,0,0.623724818,0,0.538671434,0,0.510320306,1
19,1,0,0.946024895,0,0.99332614,0,1.040627385,0,0.89872365,0,0.851422406,1
20,1,0,0.923394203,0,0.969563913,0,1.015733623,0,0.877224493,0,0.831054783,1
21,1,0,0.953386247,0,1.001055559,0,1.048724872,0,0.905716935,0,0.858047622,1
