Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1,0,0.978688746,1
2,1,0,0.965487015,1
3,1,0,0.993766623,1
4,1,0,0.984668482,1
5,1,0,0.832983929,1
6,1,0,0.694021565,1
7,1,0,0.61289556,1
8,1,0,0.66797412,1
9,1,0.19569,0.465759653,1
10,1,0.4719,0.008217853,1
11,1,0.63228,0.002789536,1
12,1,0.71324,0.00236908,1
13,1,0.68288,0.004896452,1
14,1,0.6556,0.008482746,1
15,1,0.55143,0.110933034,1
16,1,0.36421,0.221982364,1
17,1,0.07062,0.156126359,1
18,1,0,0.623724818,1
19,1,0,1.040627385,1
20,1,0,1.015733623,1
21,1,0,1.048724872,1
22,1,0,1.02212596,1
23,1,0,0.9344818,1
24,1,0,0.732128071,1
25,1,0,0.580195749,1
26,1,0,0.713022464,1
27,1,0,0.699931145,1
28,1,0,1.006325948,1
29,1,0,0.943445075,1
30,1,0,0.907245397,1
31,1,0,0.645289511,1
32,1,0,0.534564597,1
33,1,0.176,0.622477901,1
34,1,0.37598,0.816125631,1
35,1,0.54472,1.022259318,1
36,1,0.62194,1.085090494,1
37,1,0.62843,1.090811706,1
38,1,0.59554,1.084187597,1
39,1,0.51447,1.090201492,1
40,1,0.35123,1.046666849,1
41,1,0.11033,1.057705457,1
42,1,0,0.877032995,1
43,1,0,0.79765181,1
44,1,0,0.597793293,1
45,1,0,0.907837058,1
46,1,0,1.013185764,1
47,1,0,0.90793724,1
48,1,0,0.881193822,1
49,1,0,0.92254023,1
50,1,0,0.724462987,1
51,1,0,0.533850592,1
52,1,0,0.65558533,1
53,1,0,0.684025967,1
54,1,0,0.768127185,1
55,1,0,0.621905583,1
56,1,0,0.399280795,1
57,1,0.23617,0.470003846,1
58,1,0.4796,0.976687897,1
59,1,0.63657,1.047931206,1
60,1,0.6952,1.073980618,1
61,1,0.70961,1.097805601,1
62,1,0.68277,1.076414066,1
63,1,0.60544,1.091591602,1
64,1,0.41591,1.084759062,1
65,1,0.15081,0.936689508,1
66,1,0,0.993373037,1
67,1,0,1.093656838,1
68,1,0,0.910208088,1
69,1,0,1.062389231,1
70,1,0,1.056176805,1
71,1,0,1.086505258,1
72,1,0,1.077904296,1
73,1,0,1.099794519,1
74,1,0,1.092298722,1
75,1,0,1.004020941,1
76,1,0,0.990345764,1
77,1,0,0.990993154,1
78,1,0,0.864819527,1
79,1,0,0.824675191,1
80,1,0,0.756105494,1
81,1,0.25047,0.664790476,1
82,1,0.49522,0.659810084,1
83,1,0.66506,0.635259623,1
84,1,0.74701,0.095027824,1
85,1,0.74008,0.044969641,1
86,1,0.71302,0.024677699,1
87,1,0.5808,0.010407439,1
88,1,0.36773,0.014889305,1
89,1,0.0308,0.006902324,1
90,1,0,0.063898219,1
91,1,0,0.246569543,1
92,1,0,0.30302974,1
93,1,0,0.458647576,1
94,1,0,0.429822138,1
95,1,0,0.51024758,1
96,1,0,0.461878789,1
97,1,0,0.35848884,1
98,1,0,0.575034202,1
99,1,0,0.402586326,1
100,1,0,0.466829806,1
101,1,0,0.476427227,1
102,1,0,0.399157271,1
103,1,0,0.250940654,1
104,1,0,0.280493667,1
105,1,0.11363,0.327088398,1
106,1,0.30844,0.291525751,1
107,1,0.48092,0.271332746,1
108,1,0.65043,0.230500108,1
109,1,0.58839,0.234599042,1
110,1,0.53394,0.388755891,1
111,1,0.43703,0.45152986,1
112,1,0.32428,0.889787638,1
113,1,0.09867,0.850721323,1
114,1,0,0.890932864,1
115,1,0,0.753889656,1
116,1,0,0.504631633,1
117,1,0,0.527679015,1
118,1,0,0.106960805,1
119,1,0,0.410454435,1
120,1,0,0.184781016,1
121,1,0,0.367056823,1
122,1,0,0.328669173,1
123,1,0,0.167353106,1
124,1,0,0.076784553,1
125,1,0,0.163509449,1
126,1,0,0.230054806,1
127,1,0,0.266093882,1
128,1,0,0.256034341,1
129,1,0.11253,0.476793375,1
130,1,0.32329,0.582956171,1
131,1,0.55396,0.276749375,1
132,1,0.682,0.279396075,1
133,1,0.65417,0.238388345,1
134,1,0.46871,0.330204052,1
135,1,0.40139,0.194854669,1
136,1,0.21912,0.146590078,1
137,1,0.01661,0.309874016,1
138,1,0,0.451284155,1
139,1,0,0.383482457,1
140,1,0,0.191936989,1
141,1,0,0.329269618,1
142,1,0,0.347170761,1
143,1,0,0.431480476,1
144,1,0,0.443504855,1
145,1,0,0.394668127,1
146,1,0,0.488850209,1
147,1,0,0.565737462,1
148,1,0,0.529635149,1
149,1,0,0.369756597,1
