Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1_scen_1,Load_MW_z1_scen_2,Load_MW_z1_scen_3,Load_MW_z1_scen_4
50000,1,1,1,1,168,1,1,11162,11720.1,10045.8,9487.7
,,,,,,,2,10556,11083.8,9500.4,8972.6
,,,,,,,3,10105,10610.25,9094.5,8589.25
,,,,,,,4,9878,10371.9,8890.2,8396.3
,,,,,,,5,9843,10335.15,8858.7,8366.55
,,,,,,,6,10017,10517.85,9015.3,8514.45
,,,,,,,7,10390,10909.5,9351,8831.5
,,,,,,,8,10727,11263.35,9654.3,9117.95
,,,,,,,9,11298,11862.9,10168.2,9603.3
,,,,,,,10,11859,12451.95,10673.1,10080.15
,,,,,,,11,12196,12805.8,10976.4,10366.6
,,,,,,,12,12321,12937.05,11088.9,10472.85
,,,,,,,13,12381,13000.05,11142.9,10523.85
,,,,,,,14,12270,12883.5,11043,10429.5
,,,,,,,15,12149,12756.45,10934.1,10326.65
,,,,,,,16,12219,12829.95,10997.1,10386.15
,,,,,,,17,13410,14080.5,12069,11398.5
,,,,,,,18,14539,15265.95,13085.1,12358.15
,,,,,,,19,14454,15176.7,13008.6,12285.9
,,,,,,,20,14012,14712.6,12610.8,11910.2
,,,,,,,21,13494,14168.7,12144.6,11469.9
,,,,,,,22,12772,13410.6,11494.8,10856.2
,,,,,,,23,11877,12470.85,10689.3,10095.45
,,,,,,,24,10874,11417.7,9786.6,9242.9
,,,,,,,25,10025,10526.25,9022.5,8521.25
,,,,,,,26,9511,9986.55,8559.9,8084.35
,,,,,,,27,9264,9727.2,8337.6,7874.4
,,,,,,,28,9208,9668.4,8287.2,7826.8
,,,,,,,29,9410,9880.5,8469,7998.5
,,,,,,,30,9924,10420.2,8931.6,8435.4
,,,,,,,31,10696,11230.8,9626.4,9091.6
,,,,,,,32,11329,11895.45,10196.1,9629.65
,,,,,,,33,12105,12710.25,10894.5,10289.25
,,,,,,,34,12899,13543.95,11609.1,10964.15
,,,,,,,35,13482,14156.1,12133.8,11459.7
,,,,,,,36,13721,14407.05,12348.9,11662.85
,,,,,,,37,13699,14383.95,12329.1,11644.15
,,,,,,,38,13611,14291.55,12249.9,11569.35
,,,,,,,39,13568,14246.4,12211.2,11532.8
,,,,,,,40,13774,14462.7,12396.6,11707.9
,,,,,,,41,15066,15819.3,13559.4,12806.1
,,,,,,,42,16374,17192.7,14736.6,13917.9
,,,,,,,43,16230,17041.5,14607,13795.5
,,,,,,,44,15838,16629.9,14254.2,13462.3
,,,,,,,45,15197,15956.85,13677.3,12917.45
,,,,,,,46,14189,14898.45,12770.1,12060.65
,,,,,,,47,12940,13587,11646,10999
,,,,,,,48,11808,12398.4,10627.2,10036.8
,,,,,,,49,11057,11609.85,9951.3,9398.45
,,,,,,,50,10682,11216.1,9613.8,9079.7
,,,,,,,51,10502,11027.1,9451.8,8926.7
,,,,,,,52,10524,11050.2,9471.6,8945.4
,,,,,,,53,10901,11446.05,9810.9,9265.85
,,,,,,,54,12021,12622.05,10818.9,10217.85
,,,,,,,55,14003,14703.15,12602.7,11902.55
,,,,,,,56,15113,15868.65,13601.7,12846.05
,,,,,,,57,15301,16066.05,13770.9,13005.85
,,,,,,,58,15406,16176.3,13865.4,13095.1
,,,,,,,59,15544,16321.2,13989.6,13212.4
,,,,,,,60,15570,16348.5,14013,13234.5
,,,,,,,61,15507,16282.35,13956.3,13180.95
,,,,,,,62,15485,16259.25,13936.5,13162.25
,,,,,,,63,15426,16197.3,13883.4,13112.1
,,,,,,,64,15639,16420.95,14075.1,13293.15
,,,,,,,65,16860,17703,15174,14331
,,,,,,,66,18195,19104.75,16375.5,15465.75
,,,,,,,67,18230,19141.5,16407,15495.5
,,,,,,,68,17924,18820.2,16131.6,15235.4
,,,,,,,69,17341,18208.05,15606.9,14739.85
,,,,,,,70,16318,17133.9,14686.2,13870.3
,,,,,,,71,14952,15699.6,13456.8,12709.2
,,,,,,,72,13756,14443.8,12380.4,11692.6
,,,,,,,73,13012,13662.6,11710.8,11060.2
,,,,,,,74,12621,13252.05,11358.9,10727.85
,,,,,,,75,12422,13043.1,11179.8,10558.7
,,,,,,,76,12444,13066.2,11199.6,10577.4
,,,,,,,77,12784,13423.2,11505.6,10866.4
,,,,,,,78,13840,14532,12456,11764
,,,,,,,79,15761,16549.05,14184.9,13396.85
,,,,,,,80,16807,17647.35,15126.3,14285.95
,,,,,,,81,16828,17669.4,15145.2,14303.8
,,,,,,,82,16783,17622.15,15104.7,14265.55
,,,,,,,83,16745,17582.25,15070.5,14233.25
,,,,,,,84,16581,17410.05,14922.9,14093.85
,,,,,,,85,16344,17161.2,14709.6,13892.4
,,,,,,,86,16204,17014.2,14583.6,13773.4
,,,,,,,87,16076,16879.8,14468.4,13664.6
,,,,,,,88,16242,17054.1,14617.8,13805.7
,,,,,,,89,17378,18246.9,15640.2,14771.3
,,,,,,,90,18302,19217.1,16471.8,15556.7
,,,,,,,91,18160,19068,16344,15436
,,,,,,,92,17737,18623.85,15963.3,15076.45
,,,,,,,93,17058,17910.9,15352.2,14499.3
,,,,,,,94,15936,16732.8,14342.4,13545.6
,,,,,,,95,14506,15231.3,13055.4,12330.1
,,,,,,,96,13182,13841.1,11863.8,11204.7
,,,,,,,97,12336,12952.8,11102.4,10485.6
,,,,,,,98,11885,12479.25,10696.5,10102.25
,,,,,,,99,11656,12238.8,10490.4,9907.6
,,,,,,,100,11615,12195.75,10453.5,9872.75
,,,,,,,101,11913,12508.65,10721.7,10126.05
,,,,,,,102,12890,13534.5,11601,10956.5
,,,,,,,103,14747,15484.35,13272.3,12534.95
,,,,,,,104,15835,16626.75,14251.5,13459.75
,,,,,,,105,15951,16748.55,14355.9,13558.35
,,,,,,,106,16021,16822.05,14418.9,13617.85
,,,,,,,107,15949,16746.45,14354.1,13556.65
,,,,,,,108,15726,16512.3,14153.4,13367.1
,,,,,,,109,15531,16307.55,13977.9,13201.35
,,,,,,,110,15455,16227.75,13909.5,13136.75
,,,,,,,111,15333,16099.65,13799.7,13033.05
,,,,,,,112,15432,16203.6,13888.8,13117.2
,,,,,,,113,16412,17232.6,14770.8,13950.2
,,,,,,,114,17485,18359.25,15736.5,14862.25
,,,,,,,115,17422,18293.1,15679.8,14808.7
,,,,,,,116,17026,17877.3,15323.4,14472.1
,,,,,,,117,16390,17209.5,14751,13931.5
,,,,,,,118,15340,16107,13806,13039
,,,,,,,119,13927,14623.35,12534.3,11837.95
,,,,,,,120,12708,13343.4,11437.2,10801.8
,,,,,,,121,11909,12504.45,10718.1,10122.65
,,,,,,,122,11476,12049.8,10328.4,9754.6
,,,,,,,123,11254,11816.7,10128.6,9565.9
,,,,,,,124,11199,11758.95,10079.1,9519.15
,,,,,,,125,11472,12045.6,10324.8,9751.2
,,,,,,,126,12442,13064.1,11197.8,10575.7
,,,,,,,127,14265,14978.25,12838.5,12125.25
,,,,,,,128,15358,16125.9,13822.2,13054.3
,,,,,,,129,15484,16258.2,13935.6,13161.4
,,,,,,,130,15500,16275,13950,13175
,,,,,,,131,15432,16203.6,13888.8,13117.2
,,,,,,,132,15203,15963.15,13682.7,12922.55
,,,,,,,133,14952,15699.6,13456.8,12709.2
,,,,,,,134,14820,15561,13338,12597
,,,,,,,135,14614,15344.7,13152.6,12421.9
,,,,,,,136,14685,15419.25,13216.5,12482.25
,,,,,,,137,15541,16318.05,13986.9,13209.85
,,,,,,,138,16362,17180.1,14725.8,13907.7
,,,,,,,139,16100,16905,14490,13685
,,,,,,,140,15635,16416.75,14071.5,13289.75
,,,,,,,141,15017,15767.85,13515.3,12764.45
,,,,,,,142,14212,14922.6,12790.8,12080.2
,,,,,,,143,13116,13771.8,11804.4,11148.6
,,,,,,,144,11990,12589.5,10791,10191.5
,,,,,,,145,11119,11674.95,10007.1,9451.15
,,,,,,,146,10636,11167.8,9572.4,9040.6
,,,,,,,147,10373,10891.65,9335.7,8817.05
,,,,,,,148,10268,10781.4,9241.2,8727.8
,,,,,,,149,10370,10888.5,9333,8814.5
,,,,,,,150,10765,11303.25,9688.5,9150.25
,,,,,,,151,11478,12051.9,10330.2,9756.3
,,,,,,,152,12230,12841.5,11007,10395.5
,,,,,,,153,13001,13651.05,11700.9,11050.85
,,,,,,,154,13466,14139.3,12119.4,11446.1
,,,,,,,155,13597,14276.85,12237.3,11557.45
,,,,,,,156,13488,14162.4,12139.2,11464.8
,,,,,,,157,13240,13902,11916,11254
,,,,,,,158,12960,13608,11664,11016
,,,,,,,159,12764,13402.2,11487.6,10849.4
,,,,,,,160,12899,13543.95,11609.1,10964.15
,,,,,,,161,13844,14536.2,12459.6,11767.4
,,,,,,,162,14791,15530.55,13311.9,12572.35
,,,,,,,163,14618,15348.9,13156.2,12425.3
,,,,,,,164,14149,14856.45,12734.1,12026.65
,,,,,,,165,13704,14389.2,12333.6,11648.4
,,,,,,,166,13063,13716.15,11756.7,11103.55
,,,,,,,167,12224,12835.2,11001.6,10390.4
,,,,,,,168,11302,11867.1,10171.8,9606.7
,,,,,,,169,10528,11054.4,9475.2,8948.8
,,,,,,,170,10079,10582.95,9071.1,8567.15
,,,,,,,171,9814,10304.7,8832.6,8341.9
,,,,,,,172,9743,10230.15,8768.7,8281.55
,,,,,,,173,9817,10307.85,8835.3,8344.45
,,,,,,,174,10103,10608.15,9092.7,8587.55
,,,,,,,175,10655,11187.75,9589.5,9056.75
,,,,,,,176,11234,11795.7,10110.6,9548.9
,,,,,,,177,12040,12642,10836,10234
,,,,,,,178,12664,13297.2,11397.6,10764.4
,,,,,,,179,13058,13710.9,11752.2,11099.3
,,,,,,,180,13304,13969.2,11973.6,11308.4
,,,,,,,181,13346,14013.3,12011.4,11344.1
,,,,,,,182,13271,13934.55,11943.9,11280.35
,,,,,,,183,13225,13886.25,11902.5,11241.25
,,,,,,,184,13411,14081.55,12069.9,11399.35
,,,,,,,185,14561,15289.05,13104.9,12376.85
,,,,,,,186,15757,16544.85,14181.3,13393.45
,,,,,,,187,15733,16519.65,14159.7,13373.05
,,,,,,,188,15326,16092.3,13793.4,13027.1
,,,,,,,189,14794,15533.7,13314.6,12574.9
,,,,,,,190,13922,14618.1,12529.8,11833.7
