Time_Index,NG,None
0,0.055713,0.0
1,5.544,0.0
2,5.544,0.0
3,5.544,0.0
4,5.544,0.0
5,5.544,0.0
6,5.544,0.0
7,5.544,0.0
8,5.544,0.0
9,5.544,0.0
10,5.544,0.0
11,5.544,0.0
12,5.544,0.0
13,5.544,0.0
14,5.544,0.0
15,5.544,0.0
16,5.544,0.0
17,5.544,0.0
18,5.544,0.0
19,5.544,0.0
20,5.544,0.0
21,5.544,0.0
22,5.544,0.0
23,5.544,0.0
24,5.544,0.0
25,5.544,0.0
26,5.544,0.0
27,5.544,0.0
28,5.544,0.0
29,5.544,0.0
30,5.544,0.0
31,5.544,0.0
32,5.544,0.0
33,5.544,0.0
34,5.544,0.0
35,5.544,0.0
36,5.544,0.0
37,5.544,0.0
38,5.544,0.0
39,5.544,0.0
40,5.544,0.0
41,5.544,0.0
42,5.544,0.0
43,5.544,0.0
44,5.544,0.0
45,5.544,0.0
46,5.544,0.0
47,5.544,0.0
48,5.544,0.0
49,5.544,0.0
50,5.544,0.0
51,5.544,0.0
52,5.544,0.0
53,5.544,0.0
54,5.544,0.0
55,5.544,0.0
56,5.544,0.0
57,5.544,0.0
58,5.544,0.0
59,5.544,0.0
60,5.544,0.0
61,5.544,0.0
62,5.544,0.0
63,5.544,0.0
64,5.544,0.0
65,5.544,0.0
66,5.544,0.0
67,5.544,0.0
68,5.544,0.0
69,5.544,0.0
70,5.544,0.0
71,5.544,0.0
72,5.544,0.0
73,5.544,0.0
74,5.544,0.0
75,5.544,0.0
76,5.544,0.0
77,5.544,0.0
78,5.544,0.0
79,5.544,0.0
80,5.544,0.0
81,5.544,0.0
82,5.544,0.0
83,5.544,0.0
84,5.544,0.0
85,5.544,0.0
86,5.544,0.0
87,5.544,0.0
88,5.544,0.0
89,5.544,0.0
90,5.544,0.0
91,5.544,0.0
92,5.544,0.0
93,5.544,0.0
94,5.544,0.0
95,5.544,0.0
96,5.544,0.0
97,5.544,0.0
98,5.544,0.0
99,5.544,0.0
100,5.544,0.0
101,5.544,0.0
102,5.544,0.0
103,5.544,0.0
104,5.544,0.0
105,5.544,0.0
106,5.544,0.0
107,5.544,0.0
108,5.544,0.0
109,5.544,0.0
110,5.544,0.0
111,5.544,0.0
112,5.544,0.0
113,5.544,0.0
114,5.544,0.0
115,5.544,0.0
116,5.544,0.0
117,5.544,0.0
118,5.544,0.0
119,5.544,0.0
120,5.544,0.0
121,5.544,0.0
122,5.544,0.0
123,5.544,0.0
124,5.544,0.0
125,5.544,0.0
126,5.544,0.0
127,5.544,0.0
128,5.544,0.0
129,5.544,0.0
130,5.544,0.0
131,5.544,0.0
132,5.544,0.0
133,5.544,0.0
134,5.544,0.0
135,5.544,0.0
136,5.544,0.0
137,5.544,0.0
138,5.544,0.0
139,5.544,0.0
140,5.544,0.0
141,5.544,0.0
142,5.544,0.0
143,5.544,0.0
144,5.544,0.0
145,5.544,0.0
146,5.544,0.0
147,5.544,0.0
148,5.544,0.0
149,5.544,0.0
150,5.544,0.0
151,5.544,0.0
152,5.544,0.0
153,5.544,0.0
154,5.544,0.0
155,5.544,0.0
156,5.544,0.0
157,5.544,0.0
158,5.544,0.0
159,5.544,0.0
160,5.544,0.0
161,5.544,0.0
162,5.544,0.0
163,5.544,0.0
164,5.544,0.0
165,5.544,0.0
166,5.544,0.0
167,5.544,0.0
168,5.544,0.0
169,4.179,0.0
170,4.179,0.0
171,4.179,0.0
172,4.179,0.0
173,4.179,0.0
174,4.179,0.0
175,4.179,0.0
176,4.179,0.0
177,4.179,0.0
178,4.179,0.0
179,4.179,0.0
180,4.179,0.0
181,4.179,0.0
182,4.179,0.0
183,4.179,0.0
184,4.179,0.0
185,4.179,0.0
186,4.179,0.0
187,4.179,0.0
188,4.179,0.0
189,4.179,0.0
190,4.179,0.0
191,4.179,0.0
192,4.179,0.0
193,4.179,0.0
194,4.179,0.0
195,4.179,0.0
196,4.179,0.0
197,4.179,0.0
198,4.179,0.0
199,4.179,0.0
200,4.179,0.0
201,4.179,0.0
202,4.179,0.0
203,4.179,0.0
204,4.179,0.0
205,4.179,0.0
206,4.179,0.0
207,4.179,0.0
208,4.179,0.0
209,4.179,0.0
210,4.179,0.0
211,4.179,0.0
212,4.179,0.0
213,4.179,0.0
214,4.179,0.0
215,4.179,0.0
216,4.179,0.0
217,4.179,0.0
218,4.179,0.0
219,4.179,0.0
220,4.179,0.0
221,4.179,0.0
222,4.179,0.0
223,4.179,0.0
224,4.179,0.0
225,4.179,0.0
226,4.179,0.0
227,4.179,0.0
228,4.179,0.0
229,4.179,0.0
230,4.179,0.0
231,4.179,0.0
232,4.179,0.0
233,4.179,0.0
234,4.179,0.0
235,4.179,0.0
236,4.179,0.0
237,4.179,0.0
238,4.179,0.0
239,4.179,0.0
240,4.179,0.0
241,4.179,0.0
242,4.179,0.0
243,4.179,0.0
244,4.179,0.0
245,4.179,0.0
246,4.179,0.0
247,4.179,0.0
248,4.179,0.0
249,4.179,0.0
250,4.179,0.0
251,4.179,0.0
252,4.179,0.0
253,4.179,0.0
254,4.179,0.0
255,4.179,0.0
256,4.179,0.0
257,4.179,0.0
258,4.179,0.0
259,4.179,0.0
260,4.179,0.0
261,4.179,0.0
262,4.179,0.0
263,4.179,0.0
264,4.179,0.0
265,4.179,0.0
266,4.179,0.0
267,4.179,0.0
268,4.179,0.0
269,4.179,0.0
270,4.179,0.0
271,4.179,0.0
272,4.179,0.0
273,4.179,0.0
274,4.179,0.0
275,4.179,0.0
276,4.179,0.0
277,4.179,0.0
278,4.179,0.0
279,4.179,0.0
280,4.179,0.0
281,4.179,0.0
282,4.179,0.0
283,4.179,0.0
284,4.179,0.0
285,4.179,0.0
286,4.179,0.0
287,4.179,0.0
288,4.179,0.0
289,4.179,0.0
290,4.179,0.0
291,4.179,0.0
292,4.179,0.0
293,4.179,0.0
294,4.179,0.0
295,4.179,0.0
296,4.179,0.0
297,4.179,0.0
298,4.179,0.0
299,4.179,0.0
300,4.179,0.0
301,4.179,0.0
302,4.179,0.0
303,4.179,0.0
304,4.179,0.0
305,4.179,0.0
306,4.179,0.0
307,4.179,0.0
308,4.179,0.0
309,4.179,0.0
310,4.179,0.0
311,4.179,0.0
312,4.179,0.0
313,4.179,0.0
314,4.179,0.0
315,4.179,0.0
316,4.179,0.0
317,4.179,0.0
318,4.179,0.0
319,4.179,0.0
320,4.179,0.0
321,4.179,0.0
322,4.179,0.0
323,4.179,0.0
324,4.179,0.0
325,4.179,0.0
326,4.179,0.0
327,4.179,0.0
328,4.179,0.0
329,4.179,0.0
330,4.179,0.0
331,4.179,0.0
332,4.179,0.0
333,4.179,0.0
334,4.179,0.0
335,4.179,0.0
336,4.179,0.0
337,3.8745,0.0
338,3.8745,0.0
339,3.8745,0.0
340,3.8745,0.0
341,3.8745,0.0
342,3.8745,0.0
343,3.8745,0.0
344,3.8745,0.0
345,3.8745,0.0
346,3.8745,0.0
347,3.8745,0.0
348,3.8745,0.0
349,3.8745,0.0
350,3.8745,0.0
351,3.8745,0.0
352,3.8745,0.0
353,3.8745,0.0
354,3.8745,0.0
355,3.8745,0.0
356,3.8745,0.0
357,3.8745,0.0
358,3.8745,0.0
359,3.8745,0.0
360,3.8745,0.0
361,3.8745,0.0
362,3.8745,0.0
363,3.8745,0.0
364,3.8745,0.0
365,3.8745,0.0
366,3.8745,0.0
367,3.8745,0.0
368,3.8745,0.0
369,3.8745,0.0
370,3.8745,0.0
371,3.8745,0.0
372,3.8745,0.0
373,3.8745,0.0
374,3.8745,0.0
375,3.8745,0.0
376,3.8745,0.0
377,3.8745,0.0
378,3.8745,0.0
379,3.8745,0.0
380,3.8745,0.0
381,3.8745,0.0
382,3.8745,0.0
383,3.8745,0.0
384,3.8745,0.0
385,3.8745,0.0
386,3.8745,0.0
387,3.8745,0.0
388,3.8745,0.0
389,3.8745,0.0
390,3.8745,0.0
391,3.8745,0.0
392,3.8745,0.0
393,3.8745,0.0
394,3.8745,0.0
395,3.8745,0.0
396,3.8745,0.0
397,3.8745,0.0
398,3.8745,0.0
399,3.8745,0.0
400,3.8745,0.0
401,3.8745,0.0
402,3.8745,0.0
403,3.8745,0.0
404,3.8745,0.0
405,3.8745,0.0
406,3.8745,0.0
407,3.8745,0.0
408,3.8745,0.0
409,3.8745,0.0
410,3.8745,0.0
411,3.8745,0.0
412,3.8745,0.0
413,3.8745,0.0
414,3.8745,0.0
415,3.8745,0.0
416,3.8745,0.0
417,3.8745,0.0
418,3.8745,0.0
419,3.8745,0.0
420,3.8745,0.0
421,3.8745,0.0
422,3.8745,0.0
423,3.8745,0.0
424,3.8745,0.0
425,3.8745,0.0
426,3.8745,0.0
427,3.8745,0.0
428,3.8745,0.0
429,3.8745,0.0
430,3.8745,0.0
431,3.8745,0.0
432,3.8745,0.0
433,3.8745,0.0
434,3.8745,0.0
435,3.8745,0.0
436,3.8745,0.0
437,3.8745,0.0
438,3.8745,0.0
439,3.8745,0.0
440,3.8745,0.0
441,3.8745,0.0
442,3.8745,0.0
443,3.8745,0.0
444,3.8745,0.0
445,3.8745,0.0
446,3.8745,0.0
447,3.8745,0.0
448,3.8745,0.0
449,3.8745,0.0
450,3.8745,0.0
451,3.8745,0.0
452,3.8745,0.0
453,3.8745,0.0
454,3.8745,0.0
455,3.8745,0.0
456,3.8745,0.0
457,3.8745,0.0
458,3.8745,0.0
459,3.8745,0.0
460,3.8745,0.0
461,3.8745,0.0
462,3.8745,0.0
463,3.8745,0.0
464,3.8745,0.0
465,3.8745,0.0
466,3.8745,0.0
467,3.8745,0.0
468,3.8745,0.0
469,3.8745,0.0
470,3.8745,0.0
471,3.8745,0.0
472,3.8745,0.0
473,3.8745,0.0
474,3.8745,0.0
475,3.8745,0.0
476,3.8745,0.0
477,3.8745,0.0
478,3.8745,0.0
479,3.8745,0.0
480,3.8745,0.0
481,3.8745,0.0
482,3.8745,0.0
483,3.8745,0.0
484,3.8745,0.0
485,3.8745,0.0
486,3.8745,0.0
487,3.8745,0.0
488,3.8745,0.0
489,3.8745,0.0
490,3.8745,0.0
491,3.8745,0.0
492,3.8745,0.0
493,3.8745,0.0
494,3.8745,0.0
495,3.8745,0.0
496,3.8745,0.0
497,3.8745,0.0
498,3.8745,0.0
499,3.8745,0.0
500,3.8745,0.0
501,3.8745,0.0
502,3.8745,0.0
503,3.8745,0.0
504,3.8745,0.0
505,3.339,0.0
506,3.339,0.0
507,3.339,0.0
508,3.339,0.0
509,3.339,0.0
510,3.339,0.0
511,3.339,0.0
512,3.339,0.0
513,3.339,0.0
514,3.339,0.0
515,3.339,0.0
516,3.339,0.0
517,3.339,0.0
518,3.339,0.0
519,3.339,0.0
520,3.339,0.0
521,3.339,0.0
522,3.339,0.0
523,3.339,0.0
524,3.339,0.0
525,3.339,0.0
526,3.339,0.0
527,3.339,0.0
528,3.339,0.0
529,3.339,0.0
530,3.339,0.0
531,3.339,0.0
532,3.339,0.0
533,3.339,0.0
534,3.339,0.0
535,3.339,0.0
536,3.339,0.0
537,3.339,0.0
538,3.339,0.0
539,3.339,0.0
540,3.339,0.0
541,3.339,0.0
542,3.339,0.0
543,3.339,0.0
544,3.339,0.0
545,3.339,0.0
546,3.339,0.0
547,3.339,0.0
548,3.339,0.0
549,3.339,0.0
550,3.339,0.0
551,3.339,0.0
552,3.339,0.0
553,3.339,0.0
554,3.339,0.0
555,3.339,0.0
556,3.339,0.0
557,3.339,0.0
558,3.339,0.0
559,3.339,0.0
560,3.339,0.0
561,3.339,0.0
562,3.339,0.0
563,3.339,0.0
564,3.339,0.0
565,3.339,0.0
566,3.339,0.0
567,3.339,0.0
568,3.339,0.0
569,3.339,0.0
570,3.339,0.0
571,3.339,0.0
572,3.339,0.0
573,3.339,0.0
574,3.339,0.0
575,3.339,0.0
576,3.339,0.0
577,3.339,0.0
578,3.339,0.0
579,3.339,0.0
580,3.339,0.0
581,3.339,0.0
582,3.339,0.0
583,3.339,0.0
584,3.339,0.0
585,3.339,0.0
586,3.339,0.0
587,3.339,0.0
588,3.339,0.0
589,3.339,0.0
590,3.339,0.0
591,3.339,0.0
592,3.339,0.0
593,3.339,0.0
594,3.339,0.0
595,3.339,0.0
596,3.339,0.0
597,3.339,0.0
598,3.339,0.0
599,3.339,0.0
600,3.339,0.0
601,3.339,0.0
602,3.339,0.0
603,3.339,0.0
604,3.339,0.0
605,3.339,0.0
606,3.339,0.0
607,3.339,0.0
608,3.339,0.0
609,3.339,0.0
610,3.339,0.0
611,3.339,0.0
612,3.339,0.0
613,3.339,0.0
614,3.339,0.0
615,3.339,0.0
616,3.339,0.0
617,3.339,0.0
618,3.339,0.0
619,3.339,0.0
620,3.339,0.0
621,3.339,0.0
622,3.339,0.0
623,3.339,0.0
624,3.339,0.0
625,3.339,0.0
626,3.339,0.0
627,3.339,0.0
628,3.339,0.0
629,3.339,0.0
630,3.339,0.0
631,3.339,0.0
632,3.339,0.0
633,3.339,0.0
634,3.339,0.0
635,3.339,0.0
636,3.339,0.0
637,3.339,0.0
638,3.339,0.0
639,3.339,0.0
640,3.339,0.0
641,3.339,0.0
642,3.339,0.0
643,3.339,0.0
644,3.339,0.0
645,3.339,0.0
646,3.339,0.0
647,3.339,0.0
648,3.339,0.0
649,3.339,0.0
650,3.339,0.0
651,3.339,0.0
652,3.339,0.0
653,3.339,0.0
654,3.339,0.0
655,3.339,0.0
656,3.339,0.0
657,3.339,0.0
658,3.339,0.0
659,3.339,0.0
660,3.339,0.0
661,3.339,0.0
662,3.339,0.0
663,3.339,0.0
664,3.339,0.0
665,3.339,0.0
666,3.339,0.0
667,3.339,0.0
668,3.339,0.0
669,3.339,0.0
670,3.339,0.0
671,3.339,0.0
672,3.339,0.0
673,2.0475,0.0
674,2.0475,0.0
675,2.0475,0.0
676,2.0475,0.0
677,2.0475,0.0
678,2.0475,0.0
679,2.0475,0.0
680,2.0475,0.0
681,2.0475,0.0
682,2.0475,0.0
683,2.0475,0.0
684,2.0475,0.0
685,2.0475,0.0
686,2.0475,0.0
687,2.0475,0.0
688,2.0475,0.0
689,2.0475,0.0
690,2.0475,0.0
691,2.0475,0.0
692,2.0475,0.0
693,2.0475,0.0
694,2.0475,0.0
695,2.0475,0.0
696,2.0475,0.0
697,2.0475,0.0
698,2.0475,0.0
699,2.0475,0.0
700,2.0475,0.0
701,2.0475,0.0
702,2.0475,0.0
703,2.0475,0.0
704,2.0475,0.0
705,2.0475,0.0
706,2.0475,0.0
707,2.0475,0.0
708,2.0475,0.0
709,2.0475,0.0
710,2.0475,0.0
711,2.0475,0.0
712,2.0475,0.0
713,2.0475,0.0
714,2.0475,0.0
715,2.0475,0.0
716,2.0475,0.0
717,2.0475,0.0
718,2.0475,0.0
719,2.0475,0.0
720,2.0475,0.0
721,2.0475,0.0
722,2.0475,0.0
723,2.0475,0.0
724,2.0475,0.0
725,2.0475,0.0
726,2.0475,0.0
727,2.0475,0.0
728,2.0475,0.0
729,2.0475,0.0
730,2.0475,0.0
731,2.0475,0.0
732,2.0475,0.0
733,2.0475,0.0
734,2.0475,0.0
735,2.0475,0.0
736,2.0475,0.0
737,2.0475,0.0
738,2.0475,0.0
739,2.0475,0.0
