Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1.0,0.0,0.84523119,1.0
2,1.0,0.0,0.833829695,1.0
3,1.0,0.0,0.858252993,1.0
4,1.0,0.0,0.850395507,1.0
5,1.0,0.0,0.719395211,1.0
6,1.0,0.0,0.59938226,1.0
7,1.0,0.0,0.529318893,1.0
8,1.0,0.0,0.57688674,1.0
9,1.0,0.169005,0.402246973,1.0
10,1.0,0.40755,0.007097236,1.0
11,1.0,0.54606,0.002409145,1.0
12,1.0,0.61598,0.002046024,1.0
13,1.0,0.58976,0.004228754,1.0
14,1.0,0.5662,0.007326008,1.0
15,1.0,0.476235,0.095805802,1.0
16,1.0,0.314545,0.191712042,1.0
17,1.0,0.06099,0.134836401,1.0
18,1.0,0.0,0.538671434,1.0
19,1.0,0.0,0.89872365,1.0
20,1.0,0.0,0.877224493,1.0
21,1.0,0.0,0.905716935,1.0
22,1.0,0.0,0.882745147,1.0
23,1.0,0.0,0.807052464,1.0
24,1.0,0.0,0.632292425,1.0
25,1.0,0.0,0.501078147,1.0
26,1.0,0.0,0.615792128,1.0
27,1.0,0.0,0.604485989,1.0
28,1.0,0.0,0.869099682,1.0
29,1.0,0.0,0.814793474,1.0
30,1.0,0.0,0.783530116,1.0
31,1.0,0.0,0.557295487,1.0
32,1.0,0.0,0.461669424,1.0
33,1.0,0.152,0.537594551,1.0
34,1.0,0.32471,0.704835772,1.0
35,1.0,0.47044,0.88286032,1.0
36,1.0,0.53713,0.937123609,1.0
37,1.0,0.542735,0.942064655,1.0
38,1.0,0.51433,0.936343834,1.0
39,1.0,0.444315,0.941537652,1.0
40,1.0,0.303335,0.903939551,1.0
41,1.0,0.095285,0.913472894,1.0
42,1.0,0.0,0.757437587,1.0
43,1.0,0.0,0.688881109,1.0
44,1.0,0.0,0.516276026,1.0
45,1.0,0.0,0.784041095,1.0
46,1.0,0.0,0.875024069,1.0
47,1.0,0.0,0.784127616,1.0
48,1.0,0.0,0.761031028,1.0
49,1.0,0.0,0.796739289,1.0
50,1.0,0.0,0.625672579,1.0
51,1.0,0.0,0.461052784,1.0
52,1.0,0.0,0.566187331,1.0
53,1.0,0.0,0.590749699,1.0
54,1.0,0.0,0.663382569,1.0
55,1.0,0.0,0.537100276,1.0
56,1.0,0.0,0.344833414,1.0
57,1.0,0.203965,0.405912413,1.0
58,1.0,0.4142,0.843503184,1.0
59,1.0,0.549765,0.905031496,1.0
60,1.0,0.6004,0.927528715,1.0
61,1.0,0.612845,0.948104837,1.0
62,1.0,0.589665,0.92963033,1.0
63,1.0,0.52288,0.942738202,1.0
64,1.0,0.359195,0.936837372,1.0
65,1.0,0.130245,0.80895912,1.0
66,1.0,0.0,0.857913077,1.0
67,1.0,0.0,0.944521815,1.0
68,1.0,0.0,0.786088803,1.0
69,1.0,0.0,0.917517972,1.0
70,1.0,0.0,0.912152695,1.0
71,1.0,0.0,0.93834545,1.0
72,1.0,0.0,0.930917346,1.0
73,1.0,0.0,0.949822539,1.0
74,1.0,0.0,0.943348896,1.0
75,1.0,0.0,0.867108995,1.0
76,1.0,0.0,0.855298614,1.0
77,1.0,0.0,0.855857724,1.0
78,1.0,0.0,0.746889592,1.0
79,1.0,0.0,0.712219483,1.0
80,1.0,0.0,0.653000199,1.0
81,1.0,0.216315,0.574137229,1.0
82,1.0,0.42769,0.569835982,1.0
83,1.0,0.57437,0.548633311,1.0
84,1.0,0.645145,0.082069484,1.0
85,1.0,0.63916,0.038837417,1.0
86,1.0,0.61579,0.021312558,1.0
87,1.0,0.5016,0.008988243,1.0
88,1.0,0.317585,0.012858945,1.0
89,1.0,0.0266,0.005961098,1.0
90,1.0,0.0,0.055184826,1.0
91,1.0,0.0,0.212946424,1.0
92,1.0,0.0,0.261707503,1.0
93,1.0,0.0,0.396104725,1.0
94,1.0,0.0,0.371210028,1.0
95,1.0,0.0,0.440668364,1.0
96,1.0,0.0,0.398895318,1.0
97,1.0,0.0,0.309603998,1.0
98,1.0,0.0,0.496620447,1.0
99,1.0,0.0,0.347688191,1.0
100,1.0,0.0,0.403171196,1.0
101,1.0,0.0,0.411459878,1.0
102,1.0,0.0,0.344726734,1.0
103,1.0,0.0,0.216721474,1.0
104,1.0,0.0,0.242244531,1.0
105,1.0,0.098135,0.282485435,1.0
106,1.0,0.26638,0.25177224,1.0
107,1.0,0.41534,0.234332826,1.0
108,1.0,0.561735,0.199068275,1.0
109,1.0,0.508155,0.202608263,1.0
110,1.0,0.46113,0.335743724,1.0
111,1.0,0.377435,0.389957606,1.0
112,1.0,0.28006,0.76845296,1.0
113,1.0,0.085215,0.73471387,1.0
114,1.0,0.0,0.769442019,1.0
115,1.0,0.0,0.651086521,1.0
116,1.0,0.0,0.435818229,1.0
117,1.0,0.0,0.455722785,1.0
118,1.0,0.0,0.09237524,1.0
119,1.0,0.0,0.354483375,1.0
120,1.0,0.0,0.159583605,1.0
121,1.0,0.0,0.31700362,1.0
122,1.0,0.0,0.283850649,1.0
123,1.0,0.0,0.144532228,1.0
124,1.0,0.0,0.066313932,1.0
125,1.0,0.0,0.141212706,1.0
126,1.0,0.0,0.198683696,1.0
127,1.0,0.0,0.229808353,1.0
128,1.0,0.0,0.221120567,1.0
129,1.0,0.097185,0.411776097,1.0
130,1.0,0.279205,0.503462147,1.0
131,1.0,0.47842,0.239010824,1.0
132,1.0,0.589,0.24129661,1.0
133,1.0,0.564965,0.205880843,1.0
134,1.0,0.404795,0.285176227,1.0
135,1.0,0.346655,0.168283578,1.0
136,1.0,0.18924,0.126600522,1.0
137,1.0,0.014345,0.267618468,1.0
138,1.0,0.0,0.389745407,1.0
139,1.0,0.0,0.331189394,1.0
140,1.0,0.0,0.165763763,1.0
141,1.0,0.0,0.284369215,1.0
142,1.0,0.0,0.299829294,1.0
143,1.0,0.0,0.372642229,1.0
144,1.0,0.0,0.38302692,1.0
145,1.0,0.0,0.340849746,1.0
146,1.0,0.0,0.422188817,1.0
147,1.0,0.0,0.488591445,1.0
148,1.0,0.0,0.457412174,1.0
149,1.0,0.0,0.319335243,1.0
150,1.0,0.0,0.095507385,1.0
151,1.0,0.0,0.064998951,1.0
152,1.0,0.0,0.069281944,1.0
153,1.0,0.178885,0.151640941,1.0
154,1.0,0.386365,0.246906674,1.0
155,1.0,0.52041,0.315204861,1.0
156,1.0,0.60667,0.205365504,1.0
157,1.0,0.61788,0.20877285,1.0
158,1.0,0.599545,0.261050093,1.0
159,1.0,0.483835,0.339141981,1.0
160,1.0,0.28405,0.385324909,1.0
161,1.0,0.052535,0.334379699,1.0
162,1.0,0.0,0.651719922,1.0
163,1.0,0.0,0.876194042,1.0
164,1.0,0.0,0.845264543,1.0
165,1.0,0.0,0.898524615,1.0
