Time_Index,CT_NG,ME_NG,MA_NG,None
0,0.05306,0.05306,0.05306,0
1,2.725,2.725,2.64,0
2,2.725,2.725,2.64,0
3,2.725,2.725,2.64,0
4,2.725,2.725,2.64,0
5,2.725,2.725,2.64,0
6,2.725,2.725,2.64,0
7,2.725,2.725,2.64,0
8,2.725,2.725,2.64,0
9,2.725,2.725,2.64,0
10,2.725,2.725,2.64,0
11,2.725,2.725,2.64,0
12,2.725,2.725,2.64,0
13,2.725,2.725,2.64,0
14,2.725,2.725,2.64,0
15,2.725,2.725,2.64,0
16,2.725,2.725,2.64,0
17,2.725,2.725,2.64,0
18,2.725,2.725,2.64,0
19,2.725,2.725,2.64,0
20,2.725,2.725,2.64,0
21,2.725,2.725,2.64,0
22,2.725,2.725,2.64,0
23,2.725,2.725,2.64,0
24,2.725,2.725,2.64,0
25,2.725,2.725,2.64,0
26,2.725,2.725,2.64,0
27,2.725,2.725,2.64,0
28,2.725,2.725,2.64,0
29,2.725,2.725,2.64,0
30,2.725,2.725,2.64,0
31,2.725,2.725,2.64,0
32,2.725,2.725,2.64,0
33,2.725,2.725,2.64,0
34,2.725,2.725,2.64,0
35,2.725,2.725,2.64,0
36,2.725,2.725,2.64,0
37,2.725,2.725,2.64,0
38,2.725,2.725,2.64,0
39,2.725,2.725,2.64,0
40,2.725,2.725,2.64,0
41,2.725,2.725,2.64,0
42,2.725,2.725,2.64,0
43,2.725,2.725,2.64,0
44,2.725,2.725,2.64,0
45,2.725,2.725,2.64,0
46,2.725,2.725,2.64,0
47,2.725,2.725,2.64,0
48,2.725,2.725,2.64,0
49,2.725,2.725,2.64,0
50,2.725,2.725,2.64,0
51,2.725,2.725,2.64,0
52,2.725,2.725,2.64,0
53,2.725,2.725,2.64,0
54,2.725,2.725,2.64,0
55,2.725,2.725,2.64,0
56,2.725,2.725,2.64,0
57,2.725,2.725,2.64,0
58,2.725,2.725,2.64,0
59,2.725,2.725,2.64,0
60,2.725,2.725,2.64,0
61,2.725,2.725,2.64,0
62,2.725,2.725,2.64,0
63,2.725,2.725,2.64,0
64,2.725,2.725,2.64,0
65,2.725,2.725,2.64,0
66,2.725,2.725,2.64,0
67,2.725,2.725,2.64,0
68,2.725,2.725,2.64,0
69,2.725,2.725,2.64,0
70,2.725,2.725,2.64,0
71,2.725,2.725,2.64,0
72,2.725,2.725,2.64,0
73,2.725,2.725,2.64,0
74,2.725,2.725,2.64,0
75,2.725,2.725,2.64,0
76,2.725,2.725,2.64,0
77,2.725,2.725,2.64,0
78,2.725,2.725,2.64,0
79,2.725,2.725,2.64,0
80,2.725,2.725,2.64,0
81,2.725,2.725,2.64,0
82,2.725,2.725,2.64,0
83,2.725,2.725,2.64,0
84,2.725,2.725,2.64,0
85,2.725,2.725,2.64,0
86,2.725,2.725,2.64,0
87,2.725,2.725,2.64,0
88,2.725,2.725,2.64,0
89,2.725,2.725,2.64,0
90,2.725,2.725,2.64,0
91,2.725,2.725,2.64,0
92,2.725,2.725,2.64,0
93,2.725,2.725,2.64,0
94,2.725,2.725,2.64,0
95,2.725,2.725,2.64,0
96,2.725,2.725,2.64,0
97,2.725,2.725,2.64,0
98,2.725,2.725,2.64,0
99,2.725,2.725,2.64,0
100,2.725,2.725,2.64,0
101,2.725,2.725,2.64,0
102,2.725,2.725,2.64,0
103,2.725,2.725,2.64,0
104,2.725,2.725,2.64,0
105,2.725,2.725,2.64,0
106,2.725,2.725,2.64,0
107,2.725,2.725,2.64,0
108,2.725,2.725,2.64,0
109,2.725,2.725,2.64,0
110,2.725,2.725,2.64,0
111,2.725,2.725,2.64,0
112,2.725,2.725,2.64,0
113,2.725,2.725,2.64,0
114,2.725,2.725,2.64,0
115,2.725,2.725,2.64,0
116,2.725,2.725,2.64,0
117,2.725,2.725,2.64,0
118,2.725,2.725,2.64,0
119,2.725,2.725,2.64,0
120,2.725,2.725,2.64,0
121,2.725,2.725,2.64,0
122,2.725,2.725,2.64,0
123,2.725,2.725,2.64,0
124,2.725,2.725,2.64,0
125,2.725,2.725,2.64,0
126,2.725,2.725,2.64,0
127,2.725,2.725,2.64,0
128,2.725,2.725,2.64,0
129,2.725,2.725,2.64,0
130,2.725,2.725,2.64,0
131,2.725,2.725,2.64,0
132,2.725,2.725,2.64,0
133,2.725,2.725,2.64,0
134,2.725,2.725,2.64,0
135,2.725,2.725,2.64,0
136,2.725,2.725,2.64,0
137,2.725,2.725,2.64,0
138,2.725,2.725,2.64,0
139,2.725,2.725,2.64,0
140,2.725,2.725,2.64,0
141,2.725,2.725,2.64,0
142,2.725,2.725,2.64,0
143,2.725,2.725,2.64,0
144,2.725,2.725,2.64,0
145,2.725,2.725,2.64,0
