Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1,0,1,0.455955982,0,1,0.736083222,1,1,1
2,1,0,1,0.498607111,0,1,0.705786943,1,1,1
3,1,0,1,0.555350733,0,1,0.71605916,1,1,1
4,1,0,1,0.517919731,0,1,0.698439264,1,1,1
5,1,0,1,0.305418825,0,1,0.664809799,1,1,1
6,1,0,1,0.195666302,0,1,0.621233273,1,1,1
7,1,0,1,0.234717417,0,1,0.563890218,1,1,1
8,1,0,1,0.302882552,0,1,0.518368864,1,1,1
9,1,0.14232,1,0.263470435,0.16024,1,0.421059799,1,1,1
10,1,0.3432,1,1.22E-05,0.33768,1,0.063360942,1,1,1
11,1,0.45984,1,3.64E-05,0.46192,1,0.02000868,1,1,1
12,1,0.51872,1,0.000457632,0.52032,1,0.005235034,1,1,1
13,1,0.49664,1,0.069441444,0.49328,1,0.009683586,1,1,1
14,1,0.4768,1,0.272878098,0.4964,1,0.015175921,1,1,1
15,1,0.40104,1,0.26125834,0.4104,1,0.027846378,1,1,1
16,1,0.26488,1,0.308183432,0.26952,1,0.071491086,1,1,1
17,1,0.05136,1,0.207585096,0.08544,1,0.159145522,1,1,1
18,1,0,1,0.65465169,0,1,0.388839435,1,1,1
19,1,0,1,0.757899332,0,1,0.556593418,1,1,1
20,1,0,1,0.707352877,0,1,0.714415121,1,1,1
21,1,0,1,0.690540409,0,1,0.707714558,1,1,1
22,1,0,1,0.748120451,0,1,0.768907499,1,1,1
23,1,0,1,0.77872181,0,1,0.764602089,1,1,1
24,1,0,1,0.596871996,0,1,0.761903047,1,1,1
25,1,0,1,0.346452785,0,1,0.724245358,1,1,1
26,1,0,1,0.402863359,0,1,0.694494724,1,1,1
27,1,0,1,0.65657301,0,1,0.648160791,1,1,1
28,1,0,1,0.689587212,0,1,0.70252533,1,1,1
29,1,0,1,0.508509779,0,1,0.755137539,1,1,1
30,1,0,1,0.547863578,0,1,0.726176738,1,1,1
31,1,0,1,0.59647131,0,1,0.662671566,1,1,1
32,1,0,1,0.221983504,0,1,0.67973361,1,1,1
33,1,0.128,1,0.52406125,0.1292,1,0.726279354,1,1,1
34,1,0.27344,1,0.675176859,0.34104,1,0.771408177,1,1,1
35,1,0.39616,1,0.791727734,0.456,1,0.754205227,1,1,1
36,1,0.45232,1,0.79643507,0.51856,1,0.682464504,1,1,1
37,1,0.45704,1,0.8,0.50512,1,0.633460713,1,1,1
38,1,0.43312,1,0.8,0.43272,1,0.705682087,1,1,1
39,1,0.37416,1,0.798771143,0.34216,1,0.710627365,1,1,1
40,1,0.25544,1,0.765974378,0.27216,1,0.719442797,1,1,1
41,1,0.08024,1,0.707913494,0.10408,1,0.73455801,1,1,1
42,1,0,1,0.558287001,0,1,0.628040457,1,1,1
43,1,0,1,0.425666762,0,1,0.679688167,1,1,1
44,1,0,1,0.143335044,0,1,0.712545061,1,1,1
45,1,0,1,0.368499946,0,1,0.716192913,1,1,1
46,1,0,1,0.460769129,0,1,0.673703289,1,1,1
47,1,0,1,0.420867538,0,1,0.623021555,1,1,1
48,1,0,1,0.456576586,0,1,0.63843975,1,1,1
49,1,0,1,0.492900324,0,1,0.692731571,1,1,1
