Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1,1,2000,1,8760,8760,1,3925,1681.5,1123.5
,2,0.9,0.04,1800,,,,2,3712,1590,1062.6
,3,0.55,0.024,1100,,,,3,3553.5,1521.75,1017.45
,4,0.2,0.003,400,,,,4,3473.5,1488,994.35
,,,,,,,,5,3461,1482.75,991.2
,,,,,,,,6,3522.5,1509,1008
,,,,,,,,7,3653.5,1565.25,1045.8
,,,,,,,,8,3772,1615.5,1080.45
,,,,,,,,9,3973,1701.75,1137.15
,,,,,,,,10,4170,1786.5,1193.85
,,,,,,,,11,4289,1836.75,1227.45
,,,,,,,,12,4333,1855.5,1240.05
,,,,,,,,13,4353.5,1865.25,1246.35
,,,,,,,,14,4315,1848,1234.8
,,,,,,,,15,4272,1830,1223.25
,,,,,,,,16,4297,1840.5,1229.55
,,,,,,,,17,4715.5,2019.75,1350.3
,,,,,,,,18,5112.5,2190,1463.7
,,,,,,,,19,5082.5,2177.25,1455.3
,,,,,,,,20,4927,2111.25,1410.15
,,,,,,,,21,4745,2032.5,1358.7
,,,,,,,,22,4491,1923.75,1286.25
,,,,,,,,23,4176.5,1788.75,1195.95
,,,,,,,,24,3824,1638,1094.1
,,,,,,,,25,3525.5,1509.75,1009.05
,,,,,,,,26,3344.5,1432.5,957.6
,,,,,,,,27,3257.5,1395.75,932.4
,,,,,,,,28,3238,1386.75,927.15
,,,,,,,,29,3309,1417.5,947.1
,,,,,,,,30,3490,1494.75,998.55
,,,,,,,,31,3761.5,1611,1076.25
,,,,,,,,32,3984,1706.25,1140.3
,,,,,,,,33,4256.5,1823.25,1219.05
,,,,,,,,34,4536,1943.25,1297.8
,,,,,,,,35,4741,2031,1356.6
,,,,,,,,36,4825,2066.25,1381.8
,,,,,,,,37,4817.5,2063.25,1378.65
,,,,,,,,38,4786,2050.5,1370.25
,,,,,,,,39,4771,2043.75,1366.05
,,,,,,,,40,4843.5,2074.5,1387.05
,,,,,,,,41,5298,2269.5,1516.2
,,,,,,,,42,5757.5,2466.75,1648.5
,,,,,,,,43,5707,2445,1633.8
,,,,,,,,44,5569,2385.75,1594.95
,,,,,,,,45,5344,2289,1529.85
,,,,,,,,46,4989.5,2137.5,1428
,,,,,,,,47,4550,1949.25,1303.05
,,,,,,,,48,4152,1779,1188.6
,,,,,,,,49,3888,1665.75,1113
,,,,,,,,50,3756.5,1608.75,1075.2
,,,,,,,,51,3693,1581.75,1057.35
,,,,,,,,52,3700.5,1585.5,1059.45
,,,,,,,,53,3833.5,1641.75,1097.25
,,,,,,,,54,4227.5,1810.5,1209.6
,,,,,,,,55,4924,2109,1410.15
,,,,,,,,56,5314.5,2276.25,1521.45
,,,,,,,,57,5380.5,2304.75,1540.35
,,,,,,,,58,5417.5,2320.5,1550.85
,,,,,,,,59,5466,2341.5,1564.5
,,,,,,,,60,5475,2345.25,1567.65
,,,,,,,,61,5452.5,2336.25,1561.35
,,,,,,,,62,5445,2333.25,1558.2
,,,,,,,,63,5424.5,2323.5,1552.95
,,,,,,,,64,5499.5,2355.75,1573.95
,,,,,,,,65,5929,2539.5,1696.8
,,,,,,,,66,6398,2740.5,1832.25
,,,,,,,,67,6410.5,2745.75,1835.4
,,,,,,,,68,6302.5,2700,1804.95
,,,,,,,,69,6097.5,2612.25,1746.15
,,,,,,,,70,5738,2457.75,1643.25
,,,,,,,,71,5257.5,2252.25,1505.7
,,,,,,,,72,4837,2072.25,1384.95
,,,,,,,,73,4575.5,1960.5,1309.35
,,,,,,,,74,4438,1901.25,1270.5
,,,,,,,,75,4368,1871.25,1250.55
,,,,,,,,76,4376,1874.25,1252.65
,,,,,,,,77,4495,1926,1287.3
,,,,,,,,78,4866.5,2085,1393.35
,,,,,,,,79,5542,2374.5,1586.55
,,,,,,,,80,5910,2532,1691.55
,,,,,,,,81,5917,2535,1694.7
,,,,,,,,82,5901.5,2528.25,1689.45
,,,,,,,,83,5888.5,2522.25,1685.25
,,,,,,,,84,5830.5,2497.5,1669.5
,,,,,,,,85,5747,2462.25,1645.35
,,,,,,,,86,5697.5,2441.25,1631.7
,,,,,,,,87,5653,2421.75,1618.05
,,,,,,,,88,5711.5,2446.5,1634.85
,,,,,,,,89,6110.5,2618.25,1749.3
,,,,,,,,90,6435.5,2757,1842.75
,,,,,,,,91,6386,2735.25,1828.05
,,,,,,,,92,6237,2671.5,1786.05
,,,,,,,,93,5998.5,2569.5,1716.75
,,,,,,,,94,5603.5,2400.75,1604.4
,,,,,,,,95,5100.5,2185.5,1460.55
,,,,,,,,96,4635,1986,1327.2
,,,,,,,,97,4338,1858.5,1241.1
