Time_Index,None,waste_biomass,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_distillate
0,0.0,0.0,0.09552,0.05306,0.0,0.07315
1,0.0,1.0,1.86,2.85,0.69,17.96
2,0.0,1.0,1.86,2.85,0.69,17.96
3,0.0,1.0,1.86,2.85,0.69,17.96
4,0.0,1.0,1.86,2.85,0.69,17.96
5,0.0,1.0,1.86,2.85,0.69,17.96
6,0.0,1.0,1.86,2.85,0.69,17.96
7,0.0,1.0,1.86,2.85,0.69,17.96
8,0.0,1.0,1.86,2.85,0.69,17.96
9,0.0,1.0,1.86,2.85,0.69,17.96
10,0.0,1.0,1.86,2.85,0.69,17.96
11,0.0,1.0,1.86,2.85,0.69,17.96
12,0.0,1.0,1.86,2.85,0.69,17.96
13,0.0,1.0,1.86,2.85,0.69,17.96
14,0.0,1.0,1.86,2.85,0.69,17.96
15,0.0,1.0,1.86,2.85,0.69,17.96
16,0.0,1.0,1.86,2.85,0.69,17.96
17,0.0,1.0,1.86,2.85,0.69,17.96
18,0.0,1.0,1.86,2.85,0.69,17.96
19,0.0,1.0,1.86,2.85,0.69,17.96
20,0.0,1.0,1.86,2.85,0.69,17.96
21,0.0,1.0,1.86,2.85,0.69,17.96
22,0.0,1.0,1.86,2.85,0.69,17.96
23,0.0,1.0,1.86,2.85,0.69,17.96
24,0.0,1.0,1.86,2.85,0.69,17.96
25,0.0,1.0,1.86,2.85,0.69,17.96
26,0.0,1.0,1.86,2.85,0.69,17.96
27,0.0,1.0,1.86,2.85,0.69,17.96
28,0.0,1.0,1.86,2.85,0.69,17.96
29,0.0,1.0,1.86,2.85,0.69,17.96
30,0.0,1.0,1.86,2.85,0.69,17.96
31,0.0,1.0,1.86,2.85,0.69,17.96
32,0.0,1.0,1.86,2.85,0.69,17.96
33,0.0,1.0,1.86,2.85,0.69,17.96
34,0.0,1.0,1.86,2.85,0.69,17.96
35,0.0,1.0,1.86,2.85,0.69,17.96
36,0.0,1.0,1.86,2.85,0.69,17.96
37,0.0,1.0,1.86,2.85,0.69,17.96
38,0.0,1.0,1.86,2.85,0.69,17.96
39,0.0,1.0,1.86,2.85,0.69,17.96
40,0.0,1.0,1.86,2.85,0.69,17.96
41,0.0,1.0,1.86,2.85,0.69,17.96
42,0.0,1.0,1.86,2.85,0.69,17.96
43,0.0,1.0,1.86,2.85,0.69,17.96
44,0.0,1.0,1.86,2.85,0.69,17.96
45,0.0,1.0,1.86,2.85,0.69,17.96
46,0.0,1.0,1.86,2.85,0.69,17.96
47,0.0,1.0,1.86,2.85,0.69,17.96
48,0.0,1.0,1.86,2.85,0.69,17.96
49,0.0,1.0,1.86,2.85,0.69,17.96
50,0.0,1.0,1.86,2.85,0.69,17.96
51,0.0,1.0,1.86,2.85,0.69,17.96
52,0.0,1.0,1.86,2.85,0.69,17.96
53,0.0,1.0,1.86,2.85,0.69,17.96
54,0.0,1.0,1.86,2.85,0.69,17.96
55,0.0,1.0,1.86,2.85,0.69,17.96
56,0.0,1.0,1.86,2.85,0.69,17.96
57,0.0,1.0,1.86,2.85,0.69,17.96
58,0.0,1.0,1.86,2.85,0.69,17.96
59,0.0,1.0,1.86,2.85,0.69,17.96
60,0.0,1.0,1.86,2.85,0.69,17.96
61,0.0,1.0,1.86,2.85,0.69,17.96
62,0.0,1.0,1.86,2.85,0.69,17.96
63,0.0,1.0,1.86,2.85,0.69,17.96
64,0.0,1.0,1.86,2.85,0.69,17.96
65,0.0,1.0,1.86,2.85,0.69,17.96
66,0.0,1.0,1.86,2.85,0.69,17.96
67,0.0,1.0,1.86,2.85,0.69,17.96
68,0.0,1.0,1.86,2.85,0.69,17.96
69,0.0,1.0,1.86,2.85,0.69,17.96
70,0.0,1.0,1.86,2.85,0.69,17.96
71,0.0,1.0,1.86,2.85,0.69,17.96
72,0.0,1.0,1.86,2.85,0.69,17.96
73,0.0,1.0,1.86,2.85,0.69,17.96
74,0.0,1.0,1.86,2.85,0.69,17.96
75,0.0,1.0,1.86,2.85,0.69,17.96
76,0.0,1.0,1.86,2.85,0.69,17.96
77,0.0,1.0,1.86,2.85,0.69,17.96
78,0.0,1.0,1.86,2.85,0.69,17.96
79,0.0,1.0,1.86,2.85,0.69,17.96
80,0.0,1.0,1.86,2.85,0.69,17.96
81,0.0,1.0,1.86,2.85,0.69,17.96
82,0.0,1.0,1.86,2.85,0.69,17.96
83,0.0,1.0,1.86,2.85,0.69,17.96
84,0.0,1.0,1.86,2.85,0.69,17.96
85,0.0,1.0,1.86,2.85,0.69,17.96
86,0.0,1.0,1.86,2.85,0.69,17.96
87,0.0,1.0,1.86,2.85,0.69,17.96
88,0.0,1.0,1.86,2.85,0.69,17.96
89,0.0,1.0,1.86,2.85,0.69,17.96
90,0.0,1.0,1.86,2.85,0.69,17.96
91,0.0,1.0,1.86,2.85,0.69,17.96
92,0.0,1.0,1.86,2.85,0.69,17.96
93,0.0,1.0,1.86,2.85,0.69,17.96
94,0.0,1.0,1.86,2.85,0.69,17.96
95,0.0,1.0,1.86,2.85,0.69,17.96
96,0.0,1.0,1.86,2.85,0.69,17.96
97,0.0,1.0,1.86,2.85,0.69,17.96
98,0.0,1.0,1.86,2.85,0.69,17.96
99,0.0,1.0,1.86,2.85,0.69,17.96
100,0.0,1.0,1.86,2.85,0.69,17.96
101,0.0,1.0,1.86,2.85,0.69,17.96
102,0.0,1.0,1.86,2.85,0.69,17.96
103,0.0,1.0,1.86,2.85,0.69,17.96
104,0.0,1.0,1.86,2.85,0.69,17.96
105,0.0,1.0,1.86,2.85,0.69,17.96
106,0.0,1.0,1.86,2.85,0.69,17.96
107,0.0,1.0,1.86,2.85,0.69,17.96
108,0.0,1.0,1.86,2.85,0.69,17.96
109,0.0,1.0,1.86,2.85,0.69,17.96
110,0.0,1.0,1.86,2.85,0.69,17.96
111,0.0,1.0,1.86,2.85,0.69,17.96
112,0.0,1.0,1.86,2.85,0.69,17.96
113,0.0,1.0,1.86,2.85,0.69,17.96
114,0.0,1.0,1.86,2.85,0.69,17.96
115,0.0,1.0,1.86,2.85,0.69,17.96
116,0.0,1.0,1.86,2.85,0.69,17.96
117,0.0,1.0,1.86,2.85,0.69,17.96
118,0.0,1.0,1.86,2.85,0.69,17.96
119,0.0,1.0,1.86,2.85,0.69,17.96
120,0.0,1.0,1.86,2.85,0.69,17.96
121,0.0,1.0,1.86,2.85,0.69,17.96
122,0.0,1.0,1.86,2.85,0.69,17.96
123,0.0,1.0,1.86,2.85,0.69,17.96
124,0.0,1.0,1.86,2.85,0.69,17.96
125,0.0,1.0,1.86,2.85,0.69,17.96
126,0.0,1.0,1.86,2.85,0.69,17.96
127,0.0,1.0,1.86,2.85,0.69,17.96
128,0.0,1.0,1.86,2.85,0.69,17.96
129,0.0,1.0,1.86,2.85,0.69,17.96
130,0.0,1.0,1.86,2.85,0.69,17.96
131,0.0,1.0,1.86,2.85,0.69,17.96
132,0.0,1.0,1.86,2.85,0.69,17.96
133,0.0,1.0,1.86,2.85,0.69,17.96
134,0.0,1.0,1.86,2.85,0.69,17.96
135,0.0,1.0,1.86,2.85,0.69,17.96
136,0.0,1.0,1.86,2.85,0.69,17.96
137,0.0,1.0,1.86,2.85,0.69,17.96
138,0.0,1.0,1.86,2.85,0.69,17.96
139,0.0,1.0,1.86,2.85,0.69,17.96
140,0.0,1.0,1.86,2.85,0.69,17.96
141,0.0,1.0,1.86,2.85,0.69,17.96
142,0.0,1.0,1.86,2.85,0.69,17.96
143,0.0,1.0,1.86,2.85,0.69,17.96
144,0.0,1.0,1.86,2.85,0.69,17.96
145,0.0,1.0,1.86,2.85,0.69,17.96
146,0.0,1.0,1.86,2.85,0.69,17.96
147,0.0,1.0,1.86,2.85,0.69,17.96
148,0.0,1.0,1.86,2.85,0.69,17.96
149,0.0,1.0,1.86,2.85,0.69,17.96
150,0.0,1.0,1.86,2.85,0.69,17.96
151,0.0,1.0,1.86,2.85,0.69,17.96
152,0.0,1.0,1.86,2.85,0.69,17.96
153,0.0,1.0,1.86,2.85,0.69,17.96
154,0.0,1.0,1.86,2.85,0.69,17.96
155,0.0,1.0,1.86,2.85,0.69,17.96
156,0.0,1.0,1.86,2.85,0.69,17.96
157,0.0,1.0,1.86,2.85,0.69,17.96
158,0.0,1.0,1.86,2.85,0.69,17.96
159,0.0,1.0,1.86,2.85,0.69,17.96
160,0.0,1.0,1.86,2.85,0.69,17.96
161,0.0,1.0,1.86,2.85,0.69,17.96
162,0.0,1.0,1.86,2.85,0.69,17.96
163,0.0,1.0,1.86,2.85,0.69,17.96
164,0.0,1.0,1.86,2.85,0.69,17.96
165,0.0,1.0,1.86,2.85,0.69,17.96
166,0.0,1.0,1.86,2.85,0.69,17.96
167,0.0,1.0,1.86,2.85,0.69,17.96
168,0.0,1.0,1.86,2.85,0.69,17.96
169,0.0,1.0,1.86,2.85,0.69,17.96
170,0.0,1.0,1.86,2.85,0.69,17.96
171,0.0,1.0,1.86,2.85,0.69,17.96
172,0.0,1.0,1.86,2.85,0.69,17.96
173,0.0,1.0,1.86,2.85,0.69,17.96
174,0.0,1.0,1.86,2.85,0.69,17.96
175,0.0,1.0,1.86,2.85,0.69,17.96
176,0.0,1.0,1.86,2.85,0.69,17.96
177,0.0,1.0,1.86,2.85,0.69,17.96
178,0.0,1.0,1.86,2.85,0.69,17.96
179,0.0,1.0,1.86,2.85,0.69,17.96
180,0.0,1.0,1.86,2.85,0.69,17.96
181,0.0,1.0,1.86,2.85,0.69,17.96
182,0.0,1.0,1.86,2.85,0.69,17.96
183,0.0,1.0,1.86,2.85,0.69,17.96
184,0.0,1.0,1.86,2.85,0.69,17.96
185,0.0,1.0,1.86,2.85,0.69,17.96
186,0.0,1.0,1.86,2.85,0.69,17.96
187,0.0,1.0,1.86,2.85,0.69,17.96
188,0.0,1.0,1.86,2.85,0.69,17.96
189,0.0,1.0,1.86,2.85,0.69,17.96
190,0.0,1.0,1.86,2.85,0.69,17.96
191,0.0,1.0,1.86,2.85,0.69,17.96
192,0.0,1.0,1.86,2.85,0.69,17.96
193,0.0,1.0,1.86,2.85,0.69,17.96
194,0.0,1.0,1.86,2.85,0.69,17.96
195,0.0,1.0,1.86,2.85,0.69,17.96
196,0.0,1.0,1.86,2.85,0.69,17.96
197,0.0,1.0,1.86,2.85,0.69,17.96
198,0.0,1.0,1.86,2.85,0.69,17.96
199,0.0,1.0,1.86,2.85,0.69,17.96
200,0.0,1.0,1.86,2.85,0.69,17.96
201,0.0,1.0,1.86,2.85,0.69,17.96
202,0.0,1.0,1.86,2.85,0.69,17.96
203,0.0,1.0,1.86,2.85,0.69,17.96
204,0.0,1.0,1.86,2.85,0.69,17.96
205,0.0,1.0,1.86,2.85,0.69,17.96
206,0.0,1.0,1.86,2.85,0.69,17.96
207,0.0,1.0,1.86,2.85,0.69,17.96
208,0.0,1.0,1.86,2.85,0.69,17.96
209,0.0,1.0,1.86,2.85,0.69,17.96
210,0.0,1.0,1.86,2.85,0.69,17.96
211,0.0,1.0,1.86,2.85,0.69,17.96
212,0.0,1.0,1.86,2.85,0.69,17.96
213,0.0,1.0,1.86,2.85,0.69,17.96
214,0.0,1.0,1.86,2.85,0.69,17.96
215,0.0,1.0,1.86,2.85,0.69,17.96
216,0.0,1.0,1.86,2.85,0.69,17.96
217,0.0,1.0,1.86,2.85,0.69,17.96
218,0.0,1.0,1.86,2.85,0.69,17.96
219,0.0,1.0,1.86,2.85,0.69,17.96
220,0.0,1.0,1.86,2.85,0.69,17.96
221,0.0,1.0,1.86,2.85,0.69,17.96
222,0.0,1.0,1.86,2.85,0.69,17.96
223,0.0,1.0,1.86,2.85,0.69,17.96
224,0.0,1.0,1.86,2.85,0.69,17.96
225,0.0,1.0,1.86,2.85,0.69,17.96
226,0.0,1.0,1.86,2.85,0.69,17.96
227,0.0,1.0,1.86,2.85,0.69,17.96
228,0.0,1.0,1.86,2.85,0.69,17.96
229,0.0,1.0,1.86,2.85,0.69,17.96
230,0.0,1.0,1.86,2.85,0.69,17.96
231,0.0,1.0,1.86,2.85,0.69,17.96
232,0.0,1.0,1.86,2.85,0.69,17.96
