Time_Index,TRE_batteries_1,TRE_biomass_1,TRE_conventional_hydroelectric_1,TRE_conventional_steam_coal_1,TRE_conventional_steam_coal_2,TRE_natural_gas_fired_combined_cycle_1,TRE_natural_gas_fired_combined_cycle_2,TRE_natural_gas_fired_combustion_turbine_1,TRE_natural_gas_fired_combustion_turbine_2,TRE_natural_gas_internal_combustion_engine_1,TRE_natural_gas_steam_turbine_1,TRE_nuclear_1,TRE_onshore_wind_turbine_1,TRE_petroleum_liquids_1,TRE_small_hydroelectric_1,TRE_solar_photovoltaic_1,TREW_batteries_1,TREW_natural_gas_fired_combined_cycle_1,TREW_natural_gas_fired_combined_cycle_2,TREW_natural_gas_fired_combustion_turbine_1,TREW_natural_gas_fired_combustion_turbine_2,TREW_natural_gas_internal_combustion_engine_1,TREW_onshore_wind_turbine_1,TREW_petroleum_liquids_1,TREW_solar_photovoltaic_1,TRE_naturalgas_hframe_cc_moderate_0,TRE_naturalgas_fframe_ct_moderate_0,TRE_battery_moderate_0,TRE_nuclear_nuclear_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_landbasedwind_class3_moderate_1,TRE_landbasedwind_class3_moderate_2,TRE_landbasedwind_class3_moderate_3,TREW_naturalgas_hframe_cc_moderate_0,TREW_naturalgas_fframe_ct_moderate_0,TREW_battery_moderate_0,TREW_nuclear_nuclear_moderate_0,TREW_utilitypv_class1_moderate_1,TREW_utilitypv_class1_moderate_2,TREW_utilitypv_class1_moderate_3,TREW_landbasedwind_class3_moderate_1,TREW_landbasedwind_class3_moderate_2,TREW_landbasedwind_class3_moderate_3
1,1,1,0.216,1,1,1,1,1,1,1,1,1,0.496,1,1,0.000,1,1,1,1,1,1,0.489,1,0.000,1,1,1,1,0.000,0.000,0.784,0.753,0.703,1,1,1,1,0.000,0.000,0.000,0.794,0.684,0.415
2,1,1,0.216,1,1,1,1,1,1,1,1,1,0.533,1,1,0.000,1,1,1,1,1,1,0.512,1,0.000,1,1,1,1,0.000,0.000,0.856,0.799,0.775,1,1,1,1,0.000,0.000,0.000,0.870,0.720,0.447
3,1,1,0.216,1,1,1,1,1,1,1,1,1,0.513,1,1,0.000,1,1,1,1,1,1,0.468,1,0.000,1,1,1,1,0.000,0.000,0.802,0.729,0.651,1,1,1,1,0.000,0.000,0.000,0.816,0.691,0.479
4,1,1,0.216,1,1,1,1,1,1,1,1,1,0.433,1,1,0.000,1,1,1,1,1,1,0.484,1,0.000,1,1,1,1,0.000,0.000,0.722,0.644,0.591,1,1,1,1,0.000,0.000,0.000,0.836,0.711,0.493
5,1,1,0.216,1,1,1,1,1,1,1,1,1,0.428,1,1,0.000,1,1,1,1,1,1,0.514,1,0.000,1,1,1,1,0.000,0.000,0.709,0.588,0.497,1,1,1,1,0.000,0.000,0.000,0.881,0.724,0.470
6,1,1,0.216,1,1,1,1,1,1,1,1,1,0.413,1,1,0.000,1,1,1,1,1,1,0.535,1,0.000,1,1,1,1,0.000,0.000,0.742,0.523,0.433,1,1,1,1,0.000,0.000,0.000,0.879,0.723,0.450
7,1,1,0.216,1,1,1,1,1,1,1,1,1,0.363,1,1,0.000,1,1,1,1,1,1,0.593,1,0.000,1,1,1,1,0.000,0.000,0.695,0.446,0.282,1,1,1,1,0.000,0.000,0.000,0.869,0.686,0.352
8,1,1,0.216,1,1,1,1,1,1,1,1,1,0.359,1,1,0.000,1,1,1,1,1,1,0.597,1,0.000,1,1,1,1,0.000,0.000,0.684,0.446,0.303,1,1,1,1,0.000,0.000,0.000,0.809,0.622,0.347
9,1,1,0.216,1,1,1,1,1,1,1,1,1,0.259,1,1,0.003,1,1,1,1,1,1,0.599,1,0.000,1,1,1,1,0.002,0.001,0.630,0.421,0.307,1,1,1,1,0.000,0.000,0.000,0.772,0.615,0.316
10,1,1,0.216,1,1,1,1,1,1,1,1,1,0.331,1,1,0.144,1,1,1,1,1,1,0.569,1,0.299,1,1,1,1,0.189,0.184,0.634,0.500,0.329,1,1,1,1,0.217,0.224,0.252,0.737,0.564,0.279
11,1,1,0.216,1,1,1,1,1,1,1,1,1,0.508,1,1,0.368,1,1,1,1,1,1,0.616,1,0.526,1,1,1,1,0.356,0.335,0.800,0.652,0.396,1,1,1,1,0.499,0.516,0.519,0.688,0.458,0.222
12,1,1,0.216,1,1,1,1,1,1,1,1,1,0.562,1,1,0.494,1,1,1,1,1,1,0.628,1,0.614,1,1,1,1,0.473,0.440,0.908,0.829,0.550,1,1,1,1,0.603,0.614,0.619,0.642,0.357,0.118
13,1,1,0.216,1,1,1,1,1,1,1,1,1,0.572,1,1,0.573,1,1,1,1,1,1,0.615,1,0.669,1,1,1,1,0.534,0.518,0.953,0.837,0.557,1,1,1,1,0.599,0.639,0.632,0.634,0.307,0.090
14,1,1,0.216,1,1,1,1,1,1,1,1,1,0.603,1,1,0.625,1,1,1,1,1,1,0.563,1,0.731,1,1,1,1,0.585,0.572,0.907,0.803,0.521,1,1,1,1,0.603,0.644,0.637,0.618,0.395,0.151
