Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
5000.0,1.0,1.0,1.0,5000.0,10.0,48.0,864.0,1,34850.0,1548.0
,,,,,,,816.0,2,33145.0,1472.0
,,,,,,,672.0,3,32090.0,1426.0
,,,,,,,1584.0,4,31617.0,1404.0
,,,,,,,1200.0,5,31791.0,1412.0
,,,,,,,1008.0,6,33184.0,1474.0
,,,,,,,864.0,7,35981.0,1598.0
,,,,,,,816.0,8,37916.0,1684.0
,,,,,,,864.0,9,38234.0,1695.0
,,,,,,,48.0,10,39257.0,1737.0
,,,,,,,,11,40952.0,1813.0
,,,,,,,,12,42101.0,1864.0
,,,,,,,,13,42996.0,1903.0
,,,,,,,,14,43873.0,1941.0
,,,,,,,,15,44202.0,1952.0
,,,,,,,,16,44715.0,1976.0
,,,,,,,,17,45202.0,2000.0
,,,,,,,,18,44997.0,1993.0
,,,,,,,,19,44497.0,1975.0
,,,,,,,,20,44447.0,1975.0
,,,,,,,,21,45304.0,2013.0
,,,,,,,,22,43939.0,1952.0
,,,,,,,,23,41321.0,1836.0
,,,,,,,,24,38138.0,1694.0
,,,,,,,,25,35447.0,1575.0
,,,,,,,,26,33680.0,1496.0
,,,,,,,,27,32554.0,1447.0
,,,,,,,,28,31990.0,1421.0
,,,,,,,,29,32043.0,1424.0
,,,,,,,,30,33383.0,1483.0
,,,,,,,,31,36074.0,1602.0
,,,,,,,,32,37882.0,1682.0
,,,,,,,,33,38112.0,1689.0
,,,,,,,,34,39397.0,1744.0
,,,,,,,,35,40961.0,1813.0
,,,,,,,,36,42031.0,1860.0
,,,,,,,,37,42621.0,1884.0
,,,,,,,,38,43559.0,1926.0
,,,,,,,,39,44103.0,1949.0
,,,,,,,,40,44641.0,1974.0
,,,,,,,,41,44812.0,1984.0
,,,,,,,,42,44328.0,1965.0
,,,,,,,,43,43258.0,1921.0
,,,,,,,,44,43264.0,1923.0
,,,,,,,,45,43902.0,1950.0
,,,,,,,,46,42768.0,1900.0
,,,,,,,,47,40692.0,1808.0
,,,,,,,,48,38057.0,1691.0
,,,,,,,,49,50464.0,2242.0
,,,,,,,,50,46933.0,2085.0
,,,,,,,,51,44522.0,1978.0
,,,,,,,,52,42788.0,1901.0
,,,,,,,,53,41765.0,1856.0
,,,,,,,,54,41538.0,1846.0
,,,,,,,,55,41433.0,1841.0
,,,,,,,,56,41353.0,1832.0
,,,,,,,,57,44292.0,1960.0
,,,,,,,,58,48794.0,2159.0
,,,,,,,,59,53726.0,2378.0
,,,,,,,,60,58238.0,2578.0
,,,,,,,,61,62092.0,2750.0
,,,,,,,,62,64916.0,2876.0
,,,,,,,,63,66754.0,2957.0
,,,,,,,,64,67286.0,2982.0
,,,,,,,,65,65664.0,2912.0
,,,,,,,,66,63294.0,2807.0
,,,,,,,,67,60541.0,2686.0
,,,,,,,,68,58553.0,2601.0
,,,,,,,,69,56906.0,2529.0
,,,,,,,,70,55823.0,2481.0
,,,,,,,,71,52778.0,2345.0
,,,,,,,,72,49240.0,2188.0
,,,,,,,,73,45983.0,2043.0
,,,,,,,,74,43312.0,1925.0
,,,,,,,,75,41525.0,1845.0
,,,,,,,,76,40211.0,1787.0
,,,,,,,,77,39495.0,1755.0
,,,,,,,,78,39343.0,1748.0
,,,,,,,,79,39341.0,1748.0
,,,,,,,,80,39339.0,1745.0
,,,,,,,,81,41491.0,1837.0
,,,,,,,,82,44895.0,1988.0
,,,,,,,,83,48561.0,2149.0
,,,,,,,,84,51973.0,2300.0
,,,,,,,,85,55353.0,2451.0
,,,,,,,,86,57654.0,2551.0
,,,,,,,,87,59271.0,2621.0
,,,,,,,,88,60605.0,2683.0
,,,,,,,,89,61388.0,2718.0
,,,,,,,,90,61340.0,2717.0
,,,,,,,,91,60162.0,2668.0
,,,,,,,,92,58313.0,2590.0
,,,,,,,,93,57055.0,2536.0
,,,,,,,,94,56244.0,2499.0
,,,,,,,,95,53105.0,2359.0
,,,,,,,,96,49130.0,2183.0
,,,,,,,,97,35046.0,1557.0
,,,,,,,,98,32800.0,1458.0
,,,,,,,,99,31515.0,1400.0
,,,,,,,,100,30649.0,1362.0
,,,,,,,,101,30285.0,1345.0
,,,,,,,,102,30364.0,1349.0
,,,,,,,,103,31195.0,1386.0
,,,,,,,,104,32776.0,1456.0
,,,,,,,,105,34351.0,1524.0
,,,,,,,,106,35941.0,1592.0
,,,,,,,,107,37525.0,1661.0
,,,,,,,,108,38074.0,1684.0
,,,,,,,,109,38083.0,1686.0
,,,,,,,,110,37487.0,1662.0
,,,,,,,,111,36241.0,1601.0
,,,,,,,,112,35616.0,1575.0
,,,,,,,,113,35303.0,1562.0
,,,,,,,,114,35835.0,1590.0
,,,,,,,,115,37189.0,1652.0
,,,,,,,,116,39890.0,1772.0
,,,,,,,,117,40385.0,1795.0
,,,,,,,,118,40069.0,1780.0
,,,,,,,,119,39359.0,1749.0
,,,,,,,,120,38023.0,1689.0
,,,,,,,,121,36321.0,1613.0
,,,,,,,,122,34841.0,1548.0
,,,,,,,,123,33916.0,1507.0
,,,,,,,,124,33440.0,1486.0
,,,,,,,,125,33341.0,1481.0
,,,,,,,,126,33735.0,1499.0
,,,,,,,,127,34789.0,1545.0
,,,,,,,,128,36240.0,1610.0
,,,,,,,,129,37882.0,1682.0
,,,,,,,,130,39962.0,1773.0
,,,,,,,,131,41457.0,1838.0
,,,,,,,,132,41973.0,1861.0
,,,,,,,,133,41747.0,1849.0
,,,,,,,,134,41346.0,1830.0
,,,,,,,,135,40336.0,1781.0
,,,,,,,,136,39696.0,1752.0
,,,,,,,,137,39424.0,1742.0
,,,,,,,,138,39880.0,1767.0
,,,,,,,,139,40759.0,1810.0
,,,,,,,,140,43070.0,1914.0
,,,,,,,,141,43866.0,1949.0
