cpa_id,cluster
23542,1
23547,1
23579,1
23728,1
23803,1
37098,1
38008,1
38032,1
38046,1
38850,1
38870,1
38891,1
39896,1
39897,1
39923,1
39924,1
39925,1
39926,1
39927,1
39928,1
39948,1
39949,1
39952,1
39953,1
39954,1
39955,1
39956,1
39957,1
39958,1
39971,1
39977,1
39978,1
39979,1
39980,1
39981,1
39982,1
39983,1
39984,1
39985,1
39986,1
39987,1
39988,1
40001,1
40003,1
40004,1
40006,1
40007,1
40008,1
40009,1
40010,1
40011,1
40012,1
40013,1
40014,1
40015,1
40016,1
40017,1
40018,1
40019,1
40029,1
40030,1
40031,1
40032,1
40035,1
40037,1
40038,1
40039,1
40040,1
40041,1
40042,1
40043,1
40044,1
40045,1
40046,1
40047,1
40048,1
40049,1
40050,1
40051,1
40052,1
40053,1
40062,1
40069,1
40070,1
40071,1
40072,1
40074,1
40075,1
40076,1
40077,1
40078,1
40079,1
40080,1
40081,1
40082,1
40083,1
40084,1
40085,1
40090,1
40091,1
40092,1
40104,1
40105,1
40106,1
40107,1
40108,1
40109,1
40110,1
40111,1
40112,1
40113,1
40114,1
40132,1
40133,1
40134,1
40135,1
40136,1
40137,1
40138,1
40139,1
40140,1
40141,1
40156,1
40157,1
40158,1
40159,1
40160,1
40161,1
40162,1
40163,1
40164,1
40175,1
40176,1
40177,1
40178,1
40179,1
40180,1
40192,1
40193,1
40194,1
40195,1
40196,1
42095,1
42096,1
42097,1
42098,1
42099,1
42101,1
42102,1
42103,1
42104,1
42106,1
42107,1
42108,1
42109,1
42110,1
42111,1
42112,1
42113,1
42114,1
42115,1
42116,1
42120,1
42121,1
42122,1
42123,1
42124,1
42125,1
42126,1
42130,1
42132,1
42133,1
42134,1
42139,1
42140,1
42141,1
42142,1
42143,1
42144,1
42150,1
42152,1
42154,1
42155,1
42156,1
42157,1
42161,1
42162,1
42163,1
42165,1
42166,1
42167,1
42168,1
42169,1
42170,1
42171,1
42174,1
42175,1
42176,1
42177,1
42179,1
42180,1
42181,1
42182,1
42183,1
42184,1
42185,1
42188,1
42190,1
42191,1
42192,1
42193,1
42194,1
42195,1
42196,1
42197,1
42198,1
42199,1
42200,1
42201,1
42202,1
42203,1
42204,1
42205,1
42206,1
42207,1
42208,1
42209,1
42210,1
42211,1
42212,1
42213,1
42214,1
42215,1
42216,1
42217,1
42218,1
42219,1
42220,1
42221,1
42222,1
42223,1
42224,1
42225,1
42226,1
42227,1
42228,1
42229,1
42230,1
42231,1
42232,1
42233,1
42234,1
42235,1
42236,1
42237,1
42238,1
42288,1
43592,1
43593,1
43594,1
43717,1
43718,1
43719,1
43724,1
43726,1
43727,1
43728,1
43737,1
43738,1
43740,1
43743,1
43746,1
43747,1
43748,1
43749,1
43750,1
43764,1
43765,1
43766,1
43767,1
43770,1
43773,1
43775,1
43777,1
43778,1
43779,1
43795,1
43796,1
43797,1
43798,1
43799,1
43800,1
43805,1
43806,1
43807,1
43808,1
43809,1
43826,1
43827,1
43828,1
43829,1
43830,1
43831,1
43834,1
43835,1
43836,1
43837,1
43838,1
43839,1
43840,1
43841,1
43858,1
43859,1
43860,1
43861,1
43862,1
43863,1
43864,1
43865,1
43866,1
43867,1
43868,1
43870,1
43871,1
43890,1
43891,1
43892,1
43893,1
43894,1
43895,1
43896,1
43897,1
43898,1
43899,1
43900,1
43901,1
43902,1
43904,1
43905,1
43906,1
43925,1
43926,1
43927,1
43928,1
43929,1
43936,1
43937,1
43938,1
43943,1
43964,1
43965,1
43966,1
43968,1
43969,1
43976,1
43981,1
43982,1
44006,1
44007,1
44011,1
44012,1
44013,1
44021,1
44022,1
44036,1
44044,1
44052,1
44055,1
44056,1
44058,1
44059,1
44060,1
44070,1
44092,1
44093,1
44098,1
44135,1
44136,1
44137,1
44138,1
44142,1
44200,1
44209,1
44211,1
44213,1
44234,1
44235,1
44239,1
44243,1
44245,1
44251,1
44254,1
44285,1
44286,1
44287,1
44288,1
44327,1
44328,1
44329,1
44330,1
44331,1
44333,1
44334,1
44335,1
44339,1
44368,1
44370,1
44371,1
44372,1
44373,1
44374,1
44375,1
44376,1
44377,1
44378,1
44379,1
44406,1
44407,1
44408,1
44409,1
44410,1
44411,1
44412,1
44413,1
44414,1
44415,1
44416,1
44417,1
44418,1
44442,1
44443,1
44445,1
44446,1
44447,1
44448,1
44449,1
44451,1
44453,1
44456,1
44477,1
44478,1
44479,1
44480,1
44481,1
44482,1
44483,1
44484,1
44485,1
44486,1
44487,1
44488,1
44489,1
44512,1
44513,1
44514,1
44515,1
44516,1
44517,1
44518,1
44519,1
44520,1
44521,1
44522,1
44543,1
44544,1
44545,1
44546,1
44547,1
44548,1
44549,1
44550,1
44551,1
44552,1
44571,1
44574,1
44575,1
44576,1
44577,1
44578,1
44579,1
44599,1
44600,1
44601,1
44602,1
44603,1
44604,1
44623,1
44624,1
44625,1
44626,1
44627,1
44643,1
44644,1
44645,1
44646,1
44647,1
44660,1
44661,1
44662,1
44663,1
44664,1
44665,1
44666,1
44667,1
44676,1
44678,1
44679,1
44680,1
44681,1
44682,1
44692,1
44694,1
44696,1
44697,1
44707,1
44708,1
44709,1
44710,1
44711,1
44723,1
44724,1
44726,1
44727,1
44728,1
44738,1
44739,1
44740,1
44741,1
44753,1
44754,1
44755,1
44766,1
44767,1
44768,1
44772,1
44777,1
44778,1
44782,1
44783,1
44787,1
44790,1
44791,1
45226,1
45230,1
45237,1
45238,1
45240,1
45250,1
45252,1
45267,1
45296,1
45301,1
45302,1
45315,1
45316,1
45317,1
45318,1
45319,1
45333,1
45334,1
45335,1
45336,1
45337,1
45574,1
45718,1
45741,1
45742,1
45760,1
45782,1
45783,1
45784,1
45825,1
45826,1
45827,1
45828,1
45868,1
45869,1
45870,1
45871,1
45872,1
45873,1
45911,1
45912,1
45913,1
45914,1
45915,1
45916,1
45917,1
45918,1
45956,1
45957,1
45958,1
45959,1
45960,1
45961,1
45962,1
45963,1
45964,1
45965,1
45966,1
45967,1
45968,1
45998,1
45999,1
46000,1
46001,1
46002,1
46003,1
46004,1
46005,1
46006,1
46007,1
46008,1
46009,1
46010,1
46042,1
46043,1
46044,1
46045,1
46046,1
46047,1
46048,1
46049,1
46050,1
46051,1
46052,1
46053,1
46056,1
46057,1
46088,1
46089,1
46090,1
46091,1
46092,1
46093,1
46094,1
46095,1
46096,1
46097,1
46098,1
46099,1
46100,1
46102,1
46103,1
46104,1
46105,1
46106,1
46107,1
46139,1
46140,1
46141,1
46142,1
46143,1
46144,1
46145,1
46146,1
46147,1
46148,1
46149,1
46150,1
46151,1
46153,1
46155,1
46156,1
46157,1
46158,1
46164,1
46165,1
46166,1
46167,1
46189,1
46190,1
46191,1
46192,1
46193,1
46194,1
46195,1
46196,1
46197,1
46198,1
46199,1
46200,1
46203,1
46204,1
46205,1
46206,1
46207,1
46208,1
46209,1
46212,1
46213,1
46214,1
46215,1
46216,1
46217,1
46218,1
46236,1
46237,1
46238,1
46239,1
46240,1
46241,1
46242,1
46243,1
46244,1
46245,1
46246,1
46247,1
46248,1
46250,1
46251,1
46252,1
46253,1
46254,1
46260,1
46261,1
46262,1
46284,1
46286,1
46287,1
46288,1
46289,1
46290,1
46291,1
46292,1
46293,1
46294,1
46295,1
46296,1
46304,1
46305,1
46306,1
46329,1
46330,1
46331,1
46332,1
46333,1
46334,1
46335,1
46336,1
46337,1
46338,1
46339,1
46340,1
46347,1
46374,1
46375,1
46376,1
46377,1
46378,1
46379,1
46380,1
46387,1
46388,1
46418,1
46422,1
46423,1
46424,1
46425,1
46426,1
46427,1
46428,1
46431,1
46432,1
46436,1
46437,1
46473,1
46476,1
46477,1
46478,1
46479,1
46480,1
46481,1
46482,1
46483,1
46484,1
46485,1
46486,1
46487,1
46488,1
46489,1
46490,1
46523,1
46525,1
46526,1
46527,1
46528,1
46529,1
46530,1
46531,1
46532,1
46533,1
46534,1
46537,1
46563,1
46565,1
46572,1
46573,1
46574,1
46575,1
46576,1
46577,1
46578,1
46579,1
46581,1
46605,1
46609,1
46610,1
46611,1
46612,1
46613,1
46614,1
46620,1
46621,1
46622,1
46623,1
46624,1
46626,1
46627,1
46628,1
46629,1
46630,1
46648,1
46652,1
46653,1
46654,1
46656,1
46658,1
46659,1
46660,1
46661,1
46666,1
46667,1
46668,1
46669,1
46670,1
46671,1
46672,1
46673,1
46691,1
46693,1
46694,1
46695,1
46696,1
46697,1
46698,1
46699,1
46700,1
46701,1
46702,1
46708,1
46709,1
46710,1
46711,1
46712,1
46713,1
46714,1
46715,1
46716,1
46717,1
46741,1
46743,1
46744,1
